repo,issue_idx,role,tier,python_loc,panel,status
requests,12,multi_1,small,11461,original,unchanged
requests,17,multi_2,small,14087,original,unchanged
requests,14,single,small,25807,original,unchanged
thefuck,15,single,small,4356,original,unchanged
thefuck,16,multi,small,4138,original,unchanged
thefuck,4,flexible,small,2485,original,unchanged
flask,13,single,small,6074,original,unchanged
flask,19,multi,small,7033,original,unchanged
flask,24,flexible,small,5271,original,unchanged
gpt-engineer,11,single,small,4194,original,unchanged
gpt-engineer,18,multi,small,294,original,unchanged
gpt-engineer,28,flexible,small,329,original,unchanged
Deep-Live-Cam,1,single,small,2345,original,removed
Deep-Live-Cam,11,multi,small,986,original,removed
Deep-Live-Cam,0,flexible,small,1355,original,removed
scrapy,35,single,medium,13957,original,unchanged
scrapy,20,multi,medium,17970,original,unchanged
scrapy,2,flexible,medium,10868,original,unchanged
rich,11,single,medium,22417,original,unchanged
rich,6,multi,medium,22920,original,unchanged
rich,9,flexible,medium,23215,original,unchanged
fastapi,6,single,medium,4485,original,unchanged
fastapi,5,multi,medium,2546,original,unchanged
fastapi,9,flexible,medium,4828,original,unchanged
open-interpreter,5,single,medium,2190,original,removed
open-interpreter,1,multi,medium,5507,original,removed
open-interpreter,0,flexible,medium,2976,original,removed
stable-diffusion-webui,12,single,medium,14169,original,unchanged
stable-diffusion-webui,13,multi,medium,20099,original,unchanged
stable-diffusion-webui,10,flexible,medium,21376,original,unchanged
yt-dlp,0,single,large,176626,original,unchanged
yt-dlp,16,multi,large,160310,original,unchanged
yt-dlp,34,flexible,large,189670,original,unchanged
keras,27,single,large,96905,original,unchanged
keras,14,multi,large,19914,original,unchanged
keras,10,flexible,large,150487,original,unchanged
scikit-learn,30,single,large,98897,original,unchanged
scikit-learn,53,multi,large,82298,original,unchanged
scikit-learn,2,flexible,large,146112,original,unchanged
localstack,7,single,large,169193,original,unchanged
localstack,25,multi,large,203974,original,unchanged
localstack,35,flexible,large,6875,original,unchanged
pandas,41,single,large,156498,original,unchanged
pandas,24,multi,large,125529,original,unchanged
pandas,33,flexible,large,97495,original,unchanged
core,16,flexible,large,218813,final,added
core,20,single,large,125230,final,added
fastapi,9,multi,small,5306,final,unchanged
fastapi,17,single,small,5825,final,unchanged
fastapi,20,flexible,small,5505,final,unchanged
flask,3,single,small,9169,final,unchanged
flask,6,flexible,small,8469,final,unchanged
flask,18,multi,small,8284,final,unchanged
gpt-engineer,9,single,small,6032,final,unchanged
gpt-engineer,11,flexible,small,6278,final,unchanged
gpt-engineer,12,multi,small,4547,final,unchanged
keras,5,flexible,medium,36734,final,unchanged
keras,9,single,medium,40376,final,unchanged
keras,12,multi,medium,31744,final,unchanged
localstack,2,single,medium,46788,final,unchanged
localstack,9,flexible,medium,23372,final,unchanged
localstack,19,multi,medium,18253,final,unchanged
pandas,26,extra,large,191295,final,unchanged
pandas,35,single,large,212143,final,unchanged
pandas,38,flexible,large,550256,final,unchanged
pandas,44,multi,large,126015,final,unchanged
requests,7,single,small,15173,final,unchanged
requests,12,multi,small,13135,final,unchanged
requests,13,flexible,small,13161,final,unchanged
rich,1,flexible,medium,25843,final,unchanged
rich,8,single,medium,26087,final,unchanged
rich,12,multi,medium,26407,final,unchanged
scikit-learn,5,flexible,large,212920,final,unchanged
scikit-learn,45,multi,large,238943,final,unchanged
scikit-learn,49,single,large,218052,final,unchanged
scrapy,20,flexible,medium,21846,final,unchanged
scrapy,26,single,medium,19347,final,unchanged
scrapy,48,multi,medium,21470,final,unchanged
stable-diffusion-webui,0,single,medium,30522,final,unchanged
stable-diffusion-webui,5,multi,medium,30008,final,unchanged
stable-diffusion-webui,13,flexible,medium,25720,final,unchanged
thefuck,5,single,small,3285,final,unchanged
thefuck,10,multi,small,6398,final,unchanged
thefuck,20,flexible,small,5156,final,unchanged
transformers,5,multi,large,130534,final,added
transformers,25,single,large,300605,final,added
transformers,27,flexible,large,293835,final,added
yt-dlp,23,flexible,large,199343,final,unchanged
yt-dlp,41,single,large,210205,final,unchanged
yt-dlp,45,multi,large,220293,final,unchanged
