task,base_commit,commit_date,map_type,tokens
0,ccabcf1f,2016-11-23,ast,12197
0,ccabcf1f,2016-11-23,ctags,14165
0,ccabcf1f,2016-11-23,ast_compact,4736
4,9968a10f,2013-09-25,ast,10281
4,9968a10f,2013-09-25,ctags,12018
4,9968a10f,2013-09-25,ast_compact,3995
12,be62645d,2013-02-25,ast,9570
12,be62645d,2013-02-25,ctags,11253
12,be62645d,2013-02-25,ast_compact,3659
14,4683f169,2016-12-09,ast,12253
14,4683f169,2016-12-09,ctags,14215
14,4683f169,2016-12-09,ast_compact,4899
15,1c2022cf,2017-08-10,ast,12841
15,1c2022cf,2017-08-10,ctags,14831
15,1c2022cf,2017-08-10,ast_compact,5133
