repo,tier,current_loc,median_task_loc
core,large,1449163,172021
fastapi,small,20880,5505
flask,small,9502,8469
gpt-engineer,small,6118,6032
keras,medium,307773,36734
localstack,medium,538616,23372
pandas,large,658164,201719
requests,small,6394,13161
rich,medium,38515,26087
scikit-learn,large,381358,218052
scrapy,medium,29422,21470
stable-diffusion-webui,medium,34751,30008
thefuck,small,6577,5156
transformers,large,1176313,293835
yt-dlp,large,224493,210205
Deep-Live-Cam,removed,7533,1355
open-interpreter,removed,37050,2976
