src/transformers/__init__.py  [311 edits, last: 2021-09-01]
src/transformers/trainer.py  [285 edits, last: 2021-08-31]
src/transformers/modeling_utils.py  [186 edits, last: 2021-08-30]
src/transformers/file_utils.py  [148 edits, last: 2021-08-30]
src/transformers/modeling_tf_utils.py  [135 edits, last: 2021-08-30]
src/transformers/training_args.py  [124 edits, last: 2021-08-23]
src/transformers/tokenization_utils_base.py  [113 edits, last: 2021-08-30]
src/transformers/configuration_utils.py  [104 edits, last: 2021-09-01]
src/transformers/tokenization_utils.py  [103 edits, last: 2021-04-26]
src/transformers/utils/dummy_pt_objects.py  [72 edits, last: 2021-09-01]
src/transformers/testing_utils.py  [68 edits, last: 2021-08-30]
src/transformers/integrations.py  [66 edits, last: 2021-08-30]
src/transformers/models/auto/modeling_auto.py  [58 edits, last: 2021-09-01]
src/transformers/generation_utils.py  [57 edits, last: 2021-09-01]
src/transformers/models/auto/tokenization_auto.py  [54 edits, last: 2021-09-01]
src/transformers/dependency_versions_table.py  [49 edits, last: 2021-08-30]
src/transformers/trainer_tf.py  [49 edits, last: 2021-07-14]
src/transformers/trainer_utils.py  [46 edits, last: 2021-07-21]
src/transformers/data/data_collator.py  [45 edits, last: 2021-08-31]
src/transformers/models/t5/modeling_t5.py  [45 edits, last: 2021-08-06]
src/transformers/trainer_pt_utils.py  [44 edits, last: 2021-08-23]
src/transformers/models/auto/configuration_auto.py  [40 edits, last: 2021-09-01]
src/transformers/models/bart/modeling_bart.py  [40 edits, last: 2021-06-14]
src/transformers/models/bart/modeling_tf_bart.py  [38 edits, last: 2021-07-07]
src/transformers/tokenization_utils_fast.py  [36 edits, last: 2021-08-30]
src/transformers/data/processors/squad.py  [35 edits, last: 2021-04-26]
src/transformers/models/t5/modeling_tf_t5.py  [35 edits, last: 2021-08-03]
src/transformers/modelcard.py  [32 edits, last: 2021-09-01]
src/transformers/models/gpt2/modeling_gpt2.py  [32 edits, last: 2021-08-31]
src/transformers/models/longformer/modeling_tf_longformer.py  [32 edits, last: 2021-05-03]
src/transformers/convert_pytorch_checkpoint_to_tf2.py  [30 edits, last: 2021-06-14]
src/transformers/models/auto/modeling_tf_auto.py  [30 edits, last: 2021-08-31]
src/transformers/models/roberta/modeling_roberta.py  [30 edits, last: 2021-08-31]
src/transformers/utils/dummy_flax_objects.py  [30 edits, last: 2021-08-30]
src/transformers/utils/dummy_tf_objects.py  [30 edits, last: 2021-08-31]
src/transformers/modeling_tf_pytorch_utils.py  [29 edits, last: 2021-04-26]
src/transformers/training_args_tf.py  [29 edits, last: 2021-04-30]
