modules/ui.py  [80 edits, last: 2024-12-16]
modules/globals.py  [22 edits, last: 2024-12-13]
modules/processors/frame/face_swapper.py  [15 edits, last: 2024-12-13]
modules/core.py  [11 edits, last: 2024-09-10]
modules/metadata.py  [11 edits, last: 2024-12-22]
modules/processors/frame/face_enhancer.py  [10 edits, last: 2024-12-23]
modules/capturer.py  [7 edits, last: 2024-09-11]
modules/predicter.py  [5 edits, last: 2024-08-30]
modules/face_analyser.py  [3 edits, last: 2024-09-10]
modules/cluster_analysis.py  [2 edits, last: 2024-09-10]
modules/utilities.py  [2 edits, last: 2024-12-13]
modules/video_capture.py  [2 edits, last: 2024-12-16]
modules/processors/frame/core.py  [2 edits, last: 2024-07-07]
modules/__init__.py  [1 edits, last: 2023-09-24]
modules/typing.py  [1 edits, last: 2023-09-24]
modules/processors/__init__.py  [1 edits, last: 2023-09-24]
modules/processors/frame/__init__.py  [1 edits, last: 2023-09-24]
