repo,tier,issue_idx,role,compact_chars,compact_tokens,nodoc_chars,nodoc_tokens,reduction_vs_original_pct
flask,small,3,single,31921,7980,17080,4270,46.5
flask,small,18,multi,31597,7899,16373,4093,48.2
flask,small,6,flexible,30984,7746,16189,4047,47.8
thefuck,small,5,single,15154,3788,12105,3026,20.1
thefuck,small,10,multi,27713,6928,23068,5767,16.8
thefuck,small,20,flexible,22442,5610,18646,4661,16.9
fastapi,small,17,single,29777,7444,29468,7367,1.0
fastapi,small,9,multi,26982,6745,26673,6668,1.1
fastapi,small,20,flexible,27617,6904,27308,6827,1.1
requests,small,7,single,16273,4068,8500,2125,47.8
requests,small,12,multi,13899,3474,7399,1849,46.8
requests,small,13,flexible,14053,3513,7515,1878,46.5
gpt-engineer,small,9,single,19451,4862,10540,2635,45.8
gpt-engineer,small,12,multi,13337,3334,6697,1674,49.8
gpt-engineer,small,11,flexible,19080,4770,10346,2586,45.8
scrapy,medium,26,single,97131,24282,71901,17975,26.0
scrapy,medium,48,multi,75239,18809,58837,14709,21.8
scrapy,medium,20,flexible,100634,25158,74335,18583,26.1
rich,medium,8,single,79163,19790,47871,11967,39.5
rich,medium,12,multi,81014,20253,49107,12276,39.4
rich,medium,1,flexible,78084,19521,47012,11753,39.8
stable-diffusion-webui,medium,0,single,99373,24843,80618,20154,18.9
stable-diffusion-webui,medium,5,multi,98856,24714,80809,20202,18.3
stable-diffusion-webui,medium,13,flexible,82058,20514,68655,17163,16.3
keras,medium,9,single,120994,30248,87203,21800,27.9
keras,medium,12,multi,99201,24800,70526,17631,28.9
keras,medium,5,flexible,111907,27976,80869,20217,27.7
localstack,medium,2,single,182656,45664,149215,37303,18.3
localstack,medium,19,multi,65766,16441,57624,14406,12.4
localstack,medium,9,flexible,84427,21106,74330,18582,12.0
yt-dlp,large,41,single,352050,88012,331097,82774,6.0
yt-dlp,large,45,multi,371034,92758,348149,87037,6.2
yt-dlp,large,23,flexible,335917,83979,315121,78780,6.2
pandas,large,35,single,317777,79444,213445,53361,32.8
pandas,large,44,multi,94726,23681,61857,15464,34.7
pandas,large,38,flexible,542912,135728,357813,89453,34.1
scikit-learn,large,49,single,295199,73799,189831,47457,35.7
scikit-learn,large,45,multi,312689,78172,201733,50433,35.5
scikit-learn,large,5,flexible,289803,72450,186189,46547,35.8
transformers,large,25,single,1157852,289463,914054,228513,21.1
transformers,large,5,multi,514549,128637,382363,95590,25.7
transformers,large,27,flexible,1128358,282089,890198,222549,21.1
core,large,17,single,2608238,652059,1351064,337766,48.2
core,large,8,multi,2200064,550016,1129030,282257,48.7
core,large,16,flexible,1225811,306452,623987,155996,49.1
