homeassistant/const.py  [500 edits, last: 2018-06-22]
homeassistant/components/frontend/__init__.py  [225 edits, last: 2018-06-22]
homeassistant/bootstrap.py  [201 edits, last: 2018-06-16]
homeassistant/core.py  [156 edits, last: 2018-06-16]
homeassistant/components/device_tracker/__init__.py  [140 edits, last: 2018-05-14]
homeassistant/components/discovery.py  [133 edits, last: 2018-06-17]
homeassistant/components/media_player/sonos.py  [127 edits, last: 2018-06-14]
homeassistant/components/mqtt/__init__.py  [123 edits, last: 2018-04-27]
homeassistant/components/light/__init__.py  [122 edits, last: 2018-04-12]
homeassistant/__init__.py  [121 edits, last: 2016-03-08]
homeassistant/components/light/hue.py  [121 edits, last: 2018-05-02]
homeassistant/components/media_player/__init__.py  [114 edits, last: 2018-06-14]
homeassistant/components/zwave/__init__.py  [107 edits, last: 2018-05-12]
homeassistant/helpers/entity.py  [105 edits, last: 2018-06-07]
homeassistant/__main__.py  [103 edits, last: 2018-05-12]
homeassistant/config.py  [100 edits, last: 2018-06-16]
homeassistant/components/switch/wemo.py  [100 edits, last: 2018-06-16]
homeassistant/components/media_player/cast.py  [96 edits, last: 2018-06-14]
homeassistant/remote.py  [90 edits, last: 2018-03-12]
homeassistant/components/recorder/__init__.py  [89 edits, last: 2018-06-02]
homeassistant/components/rfxtrx.py  [88 edits, last: 2018-05-14]
homeassistant/helpers/entity_component.py  [86 edits, last: 2018-06-15]
homeassistant/components/media_player/kodi.py  [85 edits, last: 2018-06-04]
homeassistant/components/demo.py  [83 edits, last: 2018-02-26]
homeassistant/components/http/__init__.py  [83 edits, last: 2018-03-17]
homeassistant/components/mysensors.py  [80 edits, last: 2018-05-21]
homeassistant/components/logbook.py  [79 edits, last: 2018-06-16]
homeassistant/components/automation/__init__.py  [79 edits, last: 2018-06-01]
homeassistant/components/sensor/wunderground.py  [76 edits, last: 2018-05-02]
homeassistant/components/device_tracker/owntracks.py  [74 edits, last: 2018-02-09]
homeassistant/components/light/limitlessled.py  [72 edits, last: 2018-05-17]
homeassistant/components/api.py  [71 edits, last: 2018-05-27]
homeassistant/components/camera/__init__.py  [71 edits, last: 2018-06-16]
homeassistant/components/sensor/systemmonitor.py  [71 edits, last: 2018-06-16]
homeassistant/components/media_player/plex.py  [70 edits, last: 2018-04-05]
homeassistant/helpers/config_validation.py  [69 edits, last: 2018-05-05]
homeassistant/components/light/lifx.py  [68 edits, last: 2018-06-07]
homeassistant/components/light/wink.py  [67 edits, last: 2018-05-15]
homeassistant/components/sensor/yr.py  [67 edits, last: 2018-02-17]
homeassistant/components/sensor/mysensors.py  [66 edits, last: 2018-05-05]
homeassistant/components/sensor/vera.py  [65 edits, last: 2018-06-07]
homeassistant/components/switch/__init__.py  [65 edits, last: 2018-02-24]
homeassistant/components/sensor/zwave.py  [64 edits, last: 2017-07-05]
homeassistant/components/history.py  [63 edits, last: 2018-06-08]
homeassistant/components/sun.py  [63 edits, last: 2017-09-12]
homeassistant/components/media_player/squeezebox.py  [63 edits, last: 2018-04-09]
homeassistant/components/light/vera.py  [62 edits, last: 2018-06-16]
homeassistant/components/light/zwave.py  [62 edits, last: 2018-05-03]
homeassistant/components/switch/vera.py  [62 edits, last: 2018-06-07]
homeassistant/components/switch/wink.py  [61 edits, last: 2018-02-11]
homeassistant/components/wemo.py  [58 edits, last: 2018-06-19]
homeassistant/components/influxdb.py  [57 edits, last: 2018-05-08]
homeassistant/components/switch/tellstick.py  [56 edits, last: 2018-06-16]
homeassistant/components/sensor/wink.py  [55 edits, last: 2018-01-20]
homeassistant/helpers/state.py  [54 edits, last: 2018-03-11]
homeassistant/components/verisure.py  [53 edits, last: 2018-01-07]
homeassistant/components/climate/zwave.py  [53 edits, last: 2018-02-11]
homeassistant/components/device_tracker/asuswrt.py  [53 edits, last: 2018-06-16]
homeassistant/components/sensor/rfxtrx.py  [53 edits, last: 2018-05-14]
homeassistant/components/light/tellstick.py  [52 edits, last: 2018-06-16]
homeassistant/components/notify/pushbullet.py  [52 edits, last: 2018-06-16]
homeassistant/components/sensor/template.py  [52 edits, last: 2018-06-16]
homeassistant/helpers/template.py  [52 edits, last: 2018-05-01]
homeassistant/components/device_sun_light_trigger.py  [51 edits, last: 2018-05-01]
