homeassistant/const.py  [1042 edits, last: 2020-09-23]
homeassistant/components/frontend/__init__.py  [482 edits, last: 2020-09-23]
homeassistant/bootstrap.py  [294 edits, last: 2020-08-27]
homeassistant/core.py  [277 edits, last: 2020-09-22]
homeassistant/components/mqtt/__init__.py  [252 edits, last: 2020-09-19]
homeassistant/config.py  [213 edits, last: 2020-09-16]
homeassistant/components/device_tracker/__init__.py  [171 edits, last: 2020-03-12]
homeassistant/helpers/config_validation.py  [171 edits, last: 2020-09-11]
homeassistant/helpers/entity.py  [171 edits, last: 2020-08-27]
homeassistant/components/zwave/__init__.py  [169 edits, last: 2020-08-29]
homeassistant/components/media_player/__init__.py  [168 edits, last: 2020-09-15]
homeassistant/components/light/__init__.py  [167 edits, last: 2020-08-29]
homeassistant/components/automation/__init__.py  [160 edits, last: 2020-09-11]
homeassistant/components/http/__init__.py  [151 edits, last: 2020-09-03]
homeassistant/config_entries.py  [150 edits, last: 2020-09-20]
homeassistant/components/recorder/__init__.py  [141 edits, last: 2020-09-14]
homeassistant/__main__.py  [138 edits, last: 2020-08-29]
homeassistant/components/camera/__init__.py  [127 edits, last: 2020-09-23]
homeassistant/helpers/entity_component.py  [124 edits, last: 2020-08-27]
homeassistant/__init__.py  [121 edits, last: 2016-03-08]
homeassistant/loader.py  [117 edits, last: 2020-09-11]
homeassistant/components/homekit/__init__.py  [115 edits, last: 2020-09-10]
homeassistant/helpers/template.py  [112 edits, last: 2020-09-18]
homeassistant/components/zha/__init__.py  [104 edits, last: 2020-06-26]
homeassistant/helpers/script.py  [102 edits, last: 2020-09-11]
homeassistant/helpers/entity_platform.py  [98 edits, last: 2020-09-20]
homeassistant/helpers/event.py  [96 edits, last: 2020-09-17]
homeassistant/components/cloud/__init__.py  [93 edits, last: 2020-04-21]
homeassistant/components/zha/core/gateway.py  [91 edits, last: 2020-09-06]
homeassistant/helpers/service.py  [91 edits, last: 2020-09-20]
homeassistant/components/switch/__init__.py  [86 edits, last: 2020-04-26]
homeassistant/components/google_assistant/trait.py  [83 edits, last: 2020-09-03]
homeassistant/components/homematic/__init__.py  [83 edits, last: 2020-06-30]
homeassistant/components/alexa/smart_home.py  [78 edits, last: 2020-03-05]
homeassistant/components/homekit_controller/__init__.py  [78 edits, last: 2020-09-11]
homeassistant/components/sonos/media_player.py  [78 edits, last: 2020-09-15]
homeassistant/components/climate/__init__.py  [77 edits, last: 2020-05-20]
homeassistant/setup.py  [76 edits, last: 2020-08-31]
homeassistant/helpers/entity_registry.py  [75 edits, last: 2020-07-19]
homeassistant/components/unifi/device_tracker.py  [74 edits, last: 2020-07-02]
homeassistant/components/zha/core/device.py  [73 edits, last: 2020-08-09]
homeassistant/helpers/state.py  [73 edits, last: 2020-04-20]
homeassistant/components/mqtt/discovery.py  [72 edits, last: 2020-08-25]
homeassistant/components/telegram_bot/__init__.py  [71 edits, last: 2020-07-05]
homeassistant/components/google_assistant/smart_home.py  [70 edits, last: 2020-08-30]
homeassistant/components/homekit/const.py  [67 edits, last: 2020-08-07]
homeassistant/components/cloud/http_api.py  [66 edits, last: 2020-09-15]
homeassistant/components/plex/server.py  [66 edits, last: 2020-09-04]
homeassistant/components/tts/__init__.py  [65 edits, last: 2020-08-28]
homeassistant/components/__init__.py  [64 edits, last: 2020-07-05]
homeassistant/components/ambient_station/__init__.py  [64 edits, last: 2020-09-23]
homeassistant/components/hassio/__init__.py  [64 edits, last: 2020-09-23]
homeassistant/util/__init__.py  [64 edits, last: 2020-05-09]
homeassistant/components/notify/__init__.py  [63 edits, last: 2020-09-03]
homeassistant/components/zeroconf/__init__.py  [62 edits, last: 2020-09-13]
homeassistant/components/zha/light.py  [61 edits, last: 2020-09-07]
homeassistant/components/mobile_app/webhook.py  [60 edits, last: 2020-09-21]
homeassistant/components/zha/core/const.py  [60 edits, last: 2020-09-06]
homeassistant/components/deconz/__init__.py  [59 edits, last: 2020-01-17]
homeassistant/components/emulated_hue/hue_api.py  [59 edits, last: 2020-09-01]
homeassistant/components/alarm_control_panel/__init__.py  [57 edits, last: 2020-04-25]
homeassistant/components/discovery/__init__.py  [57 edits, last: 2020-08-31]
homeassistant/components/lovelace/__init__.py  [57 edits, last: 2020-08-31]
