fastapi/__init__.py  [159 edits, last: 2022-09-15]
fastapi/routing.py  [109 edits, last: 2022-09-15]
fastapi/dependencies/utils.py  [71 edits, last: 2022-09-15]
fastapi/applications.py  [64 edits, last: 2022-09-15]
fastapi/openapi/utils.py  [56 edits, last: 2022-09-03]
fastapi/utils.py  [42 edits, last: 2022-09-02]
fastapi/encoders.py  [35 edits, last: 2022-09-14]
fastapi/openapi/models.py  [31 edits, last: 2022-05-13]
fastapi/security/oauth2.py  [26 edits, last: 2022-08-26]
fastapi/openapi/docs.py  [19 edits, last: 2022-08-26]
fastapi/dependencies/models.py  [18 edits, last: 2020-12-20]
fastapi/security/http.py  [17 edits, last: 2021-07-29]
fastapi/params.py  [15 edits, last: 2022-05-13]
fastapi/exceptions.py  [13 edits, last: 2022-05-10]
fastapi/security/api_key.py  [13 edits, last: 2022-09-15]
fastapi/security/open_id_connect_url.py  [11 edits, last: 2021-07-29]
fastapi/security/__init__.py  [9 edits, last: 2020-12-20]
fastapi/concurrency.py  [8 edits, last: 2022-09-14]
fastapi/param_functions.py  [7 edits, last: 2022-05-13]
fastapi/datastructures.py  [6 edits, last: 2022-01-23]
fastapi/openapi/constants.py  [6 edits, last: 2022-07-14]
fastapi/responses.py  [5 edits, last: 2022-09-02]
fastapi/security/base.py  [4 edits, last: 2018-12-07]
fastapi/exception_handlers.py  [3 edits, last: 2022-09-11]
fastapi/requests.py  [3 edits, last: 2020-08-09]
fastapi/websockets.py  [3 edits, last: 2022-09-04]
fastapi/background.py  [2 edits, last: 2020-12-20]
fastapi/staticfiles.py  [2 edits, last: 2020-12-20]
fastapi/templating.py  [2 edits, last: 2020-12-20]
fastapi/testclient.py  [2 edits, last: 2020-12-20]
fastapi/middleware/__init__.py  [2 edits, last: 2020-12-20]
fastapi/middleware/cors.py  [2 edits, last: 2020-12-20]
fastapi/middleware/gzip.py  [2 edits, last: 2020-12-20]
fastapi/middleware/httpsredirect.py  [2 edits, last: 2020-12-20]
fastapi/middleware/trustedhost.py  [2 edits, last: 2020-12-20]
fastapi/middleware/wsgi.py  [2 edits, last: 2020-12-20]
fastapi/security/utils.py  [2 edits, last: 2018-12-28]
fastapi/logger.py  [1 edits, last: 2019-12-09]
fastapi/types.py  [1 edits, last: 2020-12-20]
fastapi/dependencies/__init__.py  [1 edits, last: 2018-12-06]
fastapi/middleware/asyncexitstack.py  [1 edits, last: 2022-02-17]
fastapi/openapi/__init__.py  [1 edits, last: 2018-12-06]
