src/flask/app.py  [121 edits, last: 2024-11-08]
src/flask/helpers.py  [80 edits, last: 2024-10-31]
src/flask/__init__.py  [67 edits, last: 2023-08-29]
src/flask/cli.py  [61 edits, last: 2024-11-07]
src/flask/blueprints.py  [60 edits, last: 2024-10-24]
src/flask/ctx.py  [36 edits, last: 2024-01-16]
src/flask/testing.py  [33 edits, last: 2024-10-24]
src/flask/sessions.py  [29 edits, last: 2024-11-08]
src/flask/json/__init__.py  [27 edits, last: 2024-01-16]
src/flask/config.py  [25 edits, last: 2024-10-31]
src/flask/typing.py  [24 edits, last: 2024-10-31]
src/flask/wrappers.py  [23 edits, last: 2024-11-01]
src/flask/views.py  [19 edits, last: 2024-10-24]
src/flask/templating.py  [17 edits, last: 2024-01-16]
src/flask/debughelpers.py  [16 edits, last: 2024-01-16]
src/flask/globals.py  [14 edits, last: 2023-08-16]
src/flask/logging.py  [13 edits, last: 2024-01-16]
src/flask/json/tag.py  [12 edits, last: 2024-04-07]
src/flask/json/provider.py  [10 edits, last: 2024-10-18]
src/flask/sansio/app.py  [9 edits, last: 2024-10-24]
src/flask/signals.py  [8 edits, last: 2023-08-16]
src/flask/sansio/scaffold.py  [6 edits, last: 2024-10-31]
src/flask/__main__.py  [4 edits, last: 2021-01-29]
src/flask/sansio/blueprints.py  [4 edits, last: 2024-01-16]
