repo,issue_idx,map_type,n_files,whole_index_tokens
core,16,ast,1281,731885
core,16,freq,1281,30848
core,16,cochange,1281,7129811
core,20,ast,758,414015
core,20,freq,758,18209
core,20,cochange,758,2651462
fastapi,9,ast,41,14081
fastapi,9,freq,41,798
fastapi,9,cochange,41,17969
fastapi,17,ast,42,15378
fastapi,17,freq,42,820
fastapi,17,cochange,42,18015
fastapi,20,ast,41,14667
fastapi,20,freq,41,798
fastapi,20,cochange,41,17969
flask,3,ast,24,45202
flask,3,freq,24,451
flask,3,cochange,24,8012
flask,6,ast,21,41289
flask,6,freq,21,389
flask,6,cochange,21,6172
flask,18,ast,20,41547
flask,18,freq,20,367
flask,18,cochange,20,5695
gpt-engineer,9,ast,34,18733
gpt-engineer,9,freq,34,752
gpt-engineer,9,cochange,34,12246
gpt-engineer,11,ast,33,18381
gpt-engineer,11,freq,33,732
gpt-engineer,11,cochange,33,12129
gpt-engineer,12,ast,29,14659
gpt-engineer,12,freq,29,650
gpt-engineer,12,cochange,29,11120
keras,5,ast,81,161611
keras,5,freq,81,1620
keras,5,cochange,81,73841
keras,9,ast,73,177476
keras,9,freq,73,1455
keras,9,cochange,73,68454
keras,12,ast,66,138300
keras,12,freq,66,1305
keras,12,cochange,66,43031
localstack,2,ast,209,139200
localstack,2,freq,209,4883
localstack,2,cochange,209,217360
localstack,9,ast,112,64313
localstack,9,freq,112,2594
localstack,9,cochange,112,66262
localstack,19,ast,99,51286
localstack,19,freq,99,2281
localstack,19,cochange,99,53805
pandas,26,ast,120,291270
pandas,26,freq,120,2292
pandas,26,cochange,120,113193
pandas,35,ast,121,315790
pandas,35,freq,121,2313
pandas,35,cochange,121,112441
pandas,38,ast,294,705110
pandas,38,freq,294,6071
pandas,38,cochange,294,858938
pandas,44,ast,103,216474
pandas,44,freq,103,1943
pandas,44,cochange,103,84586
requests,7,ast,14,14884
requests,7,freq,14,256
requests,7,cochange,14,2183
requests,12,ast,14,11869
requests,12,freq,14,256
requests,12,cochange,14,2152
requests,13,ast,14,11986
requests,13,freq,14,256
requests,13,cochange,14,2152
rich,1,ast,76,74255
rich,1,freq,76,1315
rich,1,cochange,76,40185
rich,8,ast,78,75727
rich,8,freq,78,1350
rich,8,cochange,78,40279
rich,12,ast,78,77167
rich,12,freq,78,1351
rich,12,cochange,78,40647
scikit-learn,5,ast,227,645933
scikit-learn,5,freq,227,4829
scikit-learn,5,cochange,227,229824
scikit-learn,45,ast,237,712487
scikit-learn,45,freq,237,5069
scikit-learn,45,cochange,237,430584
scikit-learn,49,ast,229,664341
scikit-learn,49,freq,229,4879
scikit-learn,49,cochange,229,271262
scrapy,20,ast,170,90016
scrapy,20,freq,170,3453
scrapy,20,cochange,170,399120
scrapy,26,ast,170,85851
scrapy,26,freq,170,3446
scrapy,26,cochange,170,239150
scrapy,48,ast,232,65108
scrapy,48,freq,232,4818
scrapy,48,cochange,232,169938
stable-diffusion-webui,0,ast,135,80306
stable-diffusion-webui,0,freq,135,2684
stable-diffusion-webui,0,cochange,135,74796
stable-diffusion-webui,5,ast,134,79130
stable-diffusion-webui,5,freq,134,2670
stable-diffusion-webui,5,cochange,134,75586
stable-diffusion-webui,13,ast,105,64779
stable-diffusion-webui,13,freq,105,2088
stable-diffusion-webui,13,cochange,105,63417
thefuck,5,ast,97,14118
thefuck,5,freq,97,1941
thefuck,5,cochange,97,107256
thefuck,10,ast,203,25669
thefuck,10,freq,203,4227
thefuck,10,cochange,203,259682
thefuck,20,ast,160,20855
thefuck,20,freq,160,3300
thefuck,20,cochange,160,256211
transformers,5,ast,269,542491
transformers,5,freq,269,6446
transformers,5,cochange,269,1010217
transformers,25,ast,579,1200578
transformers,25,freq,579,15390
transformers,25,cochange,579,2504876
transformers,27,ast,567,1173758
transformers,27,freq,567,15074
transformers,27,cochange,567,2379884
yt-dlp,23,ast,1072,291251
yt-dlp,23,freq,1072,21583
yt-dlp,23,cochange,1072,15375456
yt-dlp,41,ast,1120,305361
yt-dlp,41,freq,1120,22554
yt-dlp,41,cochange,1120,15148306
yt-dlp,45,ast,1071,322918
yt-dlp,45,freq,1071,21589
yt-dlp,45,cochange,1071,15303944
