keras/layers/core.py  [265 edits, last: 2016-04-12]
keras/models.py  [199 edits, last: 2016-04-13]
keras/layers/recurrent.py  [103 edits, last: 2016-04-16]
keras/layers/convolutional.py  [89 edits, last: 2016-04-06]
keras/backend/theano_backend.py  [72 edits, last: 2016-04-15]
keras/backend/tensorflow_backend.py  [66 edits, last: 2016-04-15]
keras/callbacks.py  [59 edits, last: 2016-04-16]
keras/optimizers.py  [49 edits, last: 2016-04-03]
keras/layers/embeddings.py  [47 edits, last: 2016-04-14]
keras/objectives.py  [41 edits, last: 2016-04-04]
keras/layers/normalization.py  [39 edits, last: 2016-04-04]
keras/layers/advanced_activations.py  [38 edits, last: 2016-04-07]
keras/regularizers.py  [25 edits, last: 2016-04-03]
keras/utils/generic_utils.py  [25 edits, last: 2016-03-31]
keras/engine/topology.py  [24 edits, last: 2016-04-15]
keras/preprocessing/image.py  [24 edits, last: 2016-04-14]
keras/utils/layer_utils.py  [24 edits, last: 2016-03-31]
keras/activations.py  [22 edits, last: 2016-02-25]
keras/engine/training.py  [22 edits, last: 2016-04-14]
keras/layers/noise.py  [20 edits, last: 2016-04-06]
keras/preprocessing/sequence.py  [20 edits, last: 2016-03-11]
keras/constraints.py  [19 edits, last: 2016-04-04]
keras/datasets/data_utils.py  [19 edits, last: 2016-03-06]
keras/initializations.py  [16 edits, last: 2016-02-29]
keras/preprocessing/text.py  [16 edits, last: 2016-03-11]
keras/backend/__init__.py  [12 edits, last: 2016-04-01]
keras/backend/common.py  [12 edits, last: 2016-04-01]
keras/datasets/reuters.py  [12 edits, last: 2016-03-06]
keras/datasets/imdb.py  [11 edits, last: 2016-03-31]
keras/wrappers/scikit_learn.py  [11 edits, last: 2016-04-01]
keras/__init__.py  [10 edits, last: 2016-04-16]
keras/utils/test_utils.py  [10 edits, last: 2016-04-07]
keras/utils/visualize_util.py  [10 edits, last: 2016-04-07]
keras/datasets/cifar10.py  [9 edits, last: 2016-03-06]
keras/utils/np_utils.py  [9 edits, last: 2016-04-15]
keras/layers/wrappers.py  [7 edits, last: 2016-04-11]
keras/datasets/mnist.py  [6 edits, last: 2016-03-06]
keras/layers/__init__.py  [5 edits, last: 2016-04-01]
keras/legacy/models.py  [5 edits, last: 2016-04-13]
keras/utils/io_utils.py  [4 edits, last: 2015-08-16]
keras/datasets/cifar.py  [3 edits, last: 2016-03-06]
keras/datasets/cifar100.py  [3 edits, last: 2016-03-06]
keras/metrics.py  [2 edits, last: 2016-04-15]
keras/datasets/__init__.py  [1 edits, last: 2015-03-29]
keras/engine/__init__.py  [1 edits, last: 2016-03-31]
keras/legacy/__init__.py  [1 edits, last: 2016-03-31]
keras/preprocessing/__init__.py  [1 edits, last: 2015-03-29]
keras/utils/__init__.py  [1 edits, last: 2015-03-29]
keras/utils/data_utils.py  [1 edits, last: 2016-03-06]
keras/wrappers/__init__.py  [1 edits, last: 2015-05-25]
