keras/layers/core.py  [357 edits, last: 2018-07-16]
keras/backend/tensorflow_backend.py  [345 edits, last: 2018-07-18]
keras/models.py  [324 edits, last: 2018-04-26]
keras/backend/theano_backend.py  [254 edits, last: 2018-06-18]
keras/engine/training.py  [227 edits, last: 2018-07-18]
keras/engine/topology.py  [216 edits, last: 2018-04-24]
keras/layers/recurrent.py  [210 edits, last: 2018-04-24]
keras/layers/convolutional.py  [201 edits, last: 2018-07-15]
keras/callbacks.py  [163 edits, last: 2018-07-07]
keras/preprocessing/image.py  [130 edits, last: 2018-06-01]
keras/optimizers.py  [109 edits, last: 2018-07-01]
keras/layers/normalization.py  [82 edits, last: 2018-05-25]
keras/utils/generic_utils.py  [82 edits, last: 2018-07-18]
keras/layers/embeddings.py  [71 edits, last: 2018-06-18]
keras/utils/layer_utils.py  [68 edits, last: 2018-06-13]
keras/layers/advanced_activations.py  [66 edits, last: 2018-06-04]
keras/backend/cntk_backend.py  [62 edits, last: 2018-07-07]
keras/layers/wrappers.py  [60 edits, last: 2018-06-01]
keras/utils/data_utils.py  [51 edits, last: 2018-05-01]
keras/__init__.py  [49 edits, last: 2018-06-05]
keras/objectives.py  [49 edits, last: 2017-03-13]
keras/legacy/interfaces.py  [46 edits, last: 2018-01-04]
keras/wrappers/scikit_learn.py  [46 edits, last: 2018-02-07]
keras/layers/convolutional_recurrent.py  [43 edits, last: 2018-05-24]
keras/preprocessing/sequence.py  [43 edits, last: 2018-06-01]
keras/regularizers.py  [42 edits, last: 2018-01-24]
keras/preprocessing/text.py  [41 edits, last: 2018-06-01]
keras/activations.py  [38 edits, last: 2018-07-01]
keras/utils/np_utils.py  [38 edits, last: 2018-06-05]
keras/backend/__init__.py  [36 edits, last: 2018-06-30]
keras/layers/noise.py  [36 edits, last: 2018-04-24]
keras/constraints.py  [35 edits, last: 2018-01-24]
keras/backend/common.py  [35 edits, last: 2018-01-04]
keras/datasets/imdb.py  [34 edits, last: 2018-07-01]
keras/layers/local.py  [34 edits, last: 2018-04-24]
keras/applications/resnet50.py  [33 edits, last: 2018-06-01]
keras/datasets/reuters.py  [33 edits, last: 2018-07-01]
keras/layers/pooling.py  [33 edits, last: 2018-07-11]
keras/applications/imagenet_utils.py  [32 edits, last: 2018-06-21]
keras/utils/test_utils.py  [32 edits, last: 2018-07-14]
keras/layers/merge.py  [31 edits, last: 2018-05-23]
keras/metrics.py  [30 edits, last: 2018-02-07]
keras/applications/inception_v3.py  [30 edits, last: 2018-06-01]
keras/utils/io_utils.py  [25 edits, last: 2018-06-05]
keras/applications/mobilenet.py  [24 edits, last: 2018-07-04]
keras/applications/vgg16.py  [24 edits, last: 2018-06-01]
keras/applications/vgg19.py  [24 edits, last: 2018-06-01]
keras/legacy/layers.py  [23 edits, last: 2018-05-01]
keras/applications/xception.py  [22 edits, last: 2018-06-01]
keras/layers/__init__.py  [18 edits, last: 2018-04-24]
keras/datasets/cifar10.py  [17 edits, last: 2018-01-05]
keras/initializers.py  [16 edits, last: 2018-05-07]
keras/applications/nasnet.py  [16 edits, last: 2018-06-01]
keras/losses.py  [14 edits, last: 2018-07-01]
keras/applications/inception_resnet_v2.py  [14 edits, last: 2018-06-01]
keras/datasets/mnist.py  [13 edits, last: 2018-01-05]
keras/utils/vis_utils.py  [13 edits, last: 2018-05-21]
keras/datasets/cifar100.py  [12 edits, last: 2018-01-05]
keras/applications/__init__.py  [11 edits, last: 2018-06-01]
keras/datasets/cifar.py  [11 edits, last: 2018-02-04]
keras/engine/saving.py  [11 edits, last: 2018-06-18]
keras/utils/__init__.py  [11 edits, last: 2018-06-13]
keras/utils/conv_utils.py  [11 edits, last: 2018-06-21]
keras/applications/densenet.py  [9 edits, last: 2018-06-01]
keras/engine/network.py  [9 edits, last: 2018-07-18]
keras/layers/cudnn_recurrent.py  [8 edits, last: 2018-01-05]
keras/datasets/boston_housing.py  [7 edits, last: 2018-01-05]
keras/applications/mobilenetv2.py  [6 edits, last: 2018-07-04]
keras/engine/base_layer.py  [5 edits, last: 2018-07-18]
keras/engine/sequential.py  [5 edits, last: 2018-07-12]
keras/utils/multi_gpu_utils.py  [5 edits, last: 2018-05-18]
keras/datasets/fashion_mnist.py  [4 edits, last: 2018-01-09]
keras/engine/training_arrays.py  [4 edits, last: 2018-07-18]
keras/datasets/__init__.py  [3 edits, last: 2017-09-06]
keras/engine/__init__.py  [3 edits, last: 2018-04-24]
keras/engine/training_generator.py  [3 edits, last: 2018-07-18]
keras/legacy/__init__.py  [3 edits, last: 2017-02-16]
keras/preprocessing/__init__.py  [3 edits, last: 2018-06-01]
keras/engine/input_layer.py  [2 edits, last: 2018-07-18]
keras/engine/training_utils.py  [2 edits, last: 2018-05-03]
keras/wrappers/__init__.py  [1 edits, last: 2015-05-25]
