localstack/utils/common.py  [134 edits, last: 2020-04-23]
localstack/services/awslambda/lambda_api.py  [130 edits, last: 2020-04-27]
localstack/constants.py  [123 edits, last: 2020-04-20]
localstack/services/s3/s3_listener.py  [102 edits, last: 2020-04-26]
localstack/utils/cloudformation/template_deployer.py  [83 edits, last: 2020-04-30]
localstack/services/infra.py  [78 edits, last: 2020-04-21]
localstack/config.py  [76 edits, last: 2020-04-16]
localstack/utils/aws/aws_stack.py  [76 edits, last: 2020-04-25]
localstack/services/cloudformation/cloudformation_starter.py  [67 edits, last: 2020-04-30]
localstack/services/awslambda/lambda_executors.py  [66 edits, last: 2020-05-02]
localstack/services/sns/sns_listener.py  [60 edits, last: 2020-04-25]
localstack/services/generic_proxy.py  [56 edits, last: 2020-05-01]
localstack/services/apigateway/apigateway_listener.py  [50 edits, last: 2020-04-26]
localstack/services/install.py  [43 edits, last: 2020-04-16]
localstack/services/dynamodb/dynamodb_listener.py  [42 edits, last: 2020-04-17]
localstack/utils/testutil.py  [41 edits, last: 2020-04-27]
localstack/utils/kinesis/kinesis_connector.py  [40 edits, last: 2019-10-01]
localstack/services/sqs/sqs_listener.py  [39 edits, last: 2020-04-30]
localstack/plugins.py  [34 edits, last: 2020-04-20]
localstack/services/cloudformation/cloudformation_listener.py  [33 edits, last: 2020-03-27]
localstack/dashboard/infra.py  [31 edits, last: 2019-09-20]
localstack/services/es/es_api.py  [29 edits, last: 2020-04-18]
localstack/utils/bootstrap.py  [27 edits, last: 2020-04-16]
localstack/utils/aws/aws_models.py  [25 edits, last: 2020-03-31]
localstack/services/es/es_starter.py  [22 edits, last: 2020-04-16]
localstack/services/kinesis/kinesis_listener.py  [20 edits, last: 2019-12-01]
localstack/services/s3/s3_starter.py  [20 edits, last: 2020-04-30]
localstack/services/firehose/firehose_api.py  [19 edits, last: 2020-02-20]
localstack/services/dynamodbstreams/dynamodbstreams_api.py  [16 edits, last: 2020-03-02]
localstack/dashboard/api.py  [14 edits, last: 2020-02-24]
localstack/utils/persistence.py  [14 edits, last: 2020-03-17]
localstack/utils/analytics/event_publisher.py  [13 edits, last: 2020-03-09]
localstack/utils/kinesis/kclipy_helper.py  [13 edits, last: 2019-10-01]
localstack/services/cloudformation/service_models.py  [12 edits, last: 2020-05-01]
localstack/services/dynamodb/dynamodb_starter.py  [11 edits, last: 2020-04-21]
localstack/services/sqs/sqs_starter.py  [10 edits, last: 2020-04-21]
localstack/utils/server/multiserver.py  [10 edits, last: 2020-04-23]
localstack/services/kinesis/kinesis_starter.py  [9 edits, last: 2020-04-21]
localstack/services/stepfunctions/stepfunctions_starter.py  [9 edits, last: 2020-04-21]
localstack/utils/cloudwatch/cloudwatch_util.py  [9 edits, last: 2020-03-03]
localstack/services/apigateway/helpers.py  [8 edits, last: 2019-12-06]
localstack/services/iam/iam_listener.py  [8 edits, last: 2020-04-20]
localstack/utils/aws/aws_responses.py  [8 edits, last: 2020-04-26]
localstack/services/events/events_listener.py  [7 edits, last: 2020-04-27]
localstack/utils/cli.py  [7 edits, last: 2020-04-16]
localstack/utils/kinesis/kinesis_util.py  [7 edits, last: 2019-08-01]
localstack/services/events/events_starter.py  [4 edits, last: 2020-04-27]
localstack/services/iam/iam_starter.py  [4 edits, last: 2020-04-14]
localstack/services/secretsmanager/secretsmanager_starter.py  [4 edits, last: 2020-03-20]
localstack/services/stepfunctions/stepfunctions_listener.py  [4 edits, last: 2019-11-03]
localstack/services/edge.py  [3 edits, last: 2020-04-22]
localstack/services/apigateway/apigateway_starter.py  [3 edits, last: 2020-05-01]
localstack/services/kms/kms_starter.py  [3 edits, last: 2020-04-21]
localstack/utils/aws/dead_letter_queue.py  [3 edits, last: 2020-03-14]
localstack/services/plugins.py  [2 edits, last: 2020-04-04]
localstack/services/logs/logs_listener.py  [2 edits, last: 2020-04-03]
localstack/services/s3/multipart_content.py  [2 edits, last: 2019-12-11]
localstack/services/ses/ses_starter.py  [2 edits, last: 2020-03-20]
localstack/stepfunctions/models.py  [2 edits, last: 2019-02-24]
localstack/utils/tagging.py  [2 edits, last: 2020-04-12]
localstack/__init__.py  [1 edits, last: 2016-08-16]
localstack/dashboard/__init__.py  [1 edits, last: 2016-08-16]
localstack/services/__init__.py  [1 edits, last: 2017-07-02]
localstack/services/apigateway/__init__.py  [1 edits, last: 2017-07-02]
localstack/services/awslambda/__init__.py  [1 edits, last: 2017-07-02]
localstack/services/cloudformation/__init__.py  [1 edits, last: 2017-07-02]
localstack/services/dynamodb/__init__.py  [1 edits, last: 2017-07-02]
localstack/services/dynamodbstreams/__init__.py  [1 edits, last: 2017-07-02]
localstack/services/ec2/__init__.py  [1 edits, last: 2020-02-29]
localstack/services/ec2/ec2_starter.py  [1 edits, last: 2020-02-29]
localstack/services/es/__init__.py  [1 edits, last: 2017-07-02]
localstack/services/events/__init__.py  [1 edits, last: 2019-12-09]
localstack/services/events/scheduler.py  [1 edits, last: 2020-04-27]
localstack/services/firehose/__init__.py  [1 edits, last: 2017-07-02]
localstack/services/iam/__init__.py  [1 edits, last: 2019-03-08]
localstack/services/kinesis/__init__.py  [1 edits, last: 2017-07-02]
localstack/services/kms/__init__.py  [1 edits, last: 2019-12-07]
localstack/services/logs/__init__.py  [1 edits, last: 2020-01-26]
localstack/services/logs/logs_starter.py  [1 edits, last: 2020-01-26]
localstack/services/s3/__init__.py  [1 edits, last: 2017-07-02]
localstack/services/secretsmanager/__init__.py  [1 edits, last: 2020-03-14]
localstack/services/ses/__init__.py  [1 edits, last: 2020-03-17]
localstack/services/sns/__init__.py  [1 edits, last: 2017-07-02]
localstack/services/sqs/__init__.py  [1 edits, last: 2017-08-02]
localstack/services/ssm/__init__.py  [1 edits, last: 2020-04-08]
localstack/services/ssm/ssm_listener.py  [1 edits, last: 2020-04-08]
localstack/services/stepfunctions/__init__.py  [1 edits, last: 2019-02-18]
localstack/services/sts/__init__.py  [1 edits, last: 2020-04-20]
localstack/services/sts/sts_listener.py  [1 edits, last: 2020-04-20]
localstack/services/sts/sts_starter.py  [1 edits, last: 2020-04-20]
localstack/stepfunctions/__init__.py  [1 edits, last: 2019-02-20]
localstack/utils/__init__.py  [1 edits, last: 2016-08-16]
localstack/utils/analytics/__init__.py  [1 edits, last: 2017-07-20]
localstack/utils/analytics/profiler.py  [1 edits, last: 2019-08-01]
localstack/utils/aws/__init__.py  [1 edits, last: 2016-08-16]
localstack/utils/cloudformation/__init__.py  [1 edits, last: 2017-05-06]
localstack/utils/cloudwatch/__init__.py  [1 edits, last: 2017-05-16]
localstack/utils/kinesis/__init__.py  [1 edits, last: 2016-08-16]
localstack/utils/server/__init__.py  [1 edits, last: 2019-08-01]
