localstack/utils/common.py  [274 edits, last: 2021-11-23]
localstack/services/awslambda/lambda_api.py  [258 edits, last: 2021-11-09]
localstack/utils/cloudformation/template_deployer.py  [209 edits, last: 2021-11-23]
localstack/services/s3/s3_listener.py  [197 edits, last: 2021-11-24]
localstack/constants.py  [196 edits, last: 2021-11-23]
localstack/services/awslambda/lambda_executors.py  [163 edits, last: 2021-11-16]
localstack/config.py  [157 edits, last: 2021-11-09]
localstack/utils/aws/aws_stack.py  [156 edits, last: 2021-11-22]
localstack/services/infra.py  [133 edits, last: 2021-11-24]
localstack/services/apigateway/apigateway_listener.py  [128 edits, last: 2021-11-22]
localstack/services/cloudformation/cloudformation_starter.py  [120 edits, last: 2021-11-03]
localstack/services/edge.py  [100 edits, last: 2021-11-20]
localstack/services/sns/sns_listener.py  [99 edits, last: 2021-11-24]
localstack/services/generic_proxy.py  [97 edits, last: 2021-11-08]
localstack/utils/bootstrap.py  [97 edits, last: 2021-11-24]
localstack/services/cloudformation/service_models.py  [95 edits, last: 2021-10-04]
localstack/services/install.py  [94 edits, last: 2021-11-24]
localstack/services/dynamodb/dynamodb_listener.py  [85 edits, last: 2021-11-24]
localstack/utils/testutil.py  [74 edits, last: 2021-11-20]
localstack/plugins.py  [59 edits, last: 2021-11-24]
localstack/services/sqs/sqs_listener.py  [59 edits, last: 2021-09-29]
localstack/services/kinesis/kinesis_listener.py  [50 edits, last: 2021-08-01]
localstack/utils/kinesis/kinesis_connector.py  [49 edits, last: 2021-11-20]
localstack/services/s3/s3_starter.py  [48 edits, last: 2021-10-18]
localstack/utils/aws/aws_responses.py  [48 edits, last: 2021-11-22]
localstack/services/es/es_api.py  [43 edits, last: 2021-11-08]
localstack/dashboard/infra.py  [40 edits, last: 2021-07-21]
localstack/services/apigateway/helpers.py  [40 edits, last: 2021-11-20]
localstack/utils/aws/aws_models.py  [40 edits, last: 2021-09-22]
localstack/services/apigateway/apigateway_starter.py  [39 edits, last: 2021-08-05]
localstack/services/cloudformation/cloudformation_api.py  [34 edits, last: 2021-09-22]
localstack/services/firehose/firehose_api.py  [34 edits, last: 2021-11-08]
localstack/services/events/events_starter.py  [33 edits, last: 2021-10-26]
localstack/services/kinesis/kinesis_starter.py  [31 edits, last: 2021-10-18]
localstack/services/es/es_starter.py  [30 edits, last: 2021-07-06]
localstack/services/dynamodb/dynamodb_starter.py  [29 edits, last: 2021-11-03]
localstack/services/dynamodbstreams/dynamodbstreams_api.py  [28 edits, last: 2021-09-24]
localstack/services/sqs/sqs_starter.py  [26 edits, last: 2021-11-15]
localstack/utils/persistence.py  [25 edits, last: 2021-10-18]
localstack/utils/server/http2_server.py  [25 edits, last: 2021-10-16]
localstack/services/s3/s3_utils.py  [24 edits, last: 2021-11-20]
localstack/services/events/events_listener.py  [23 edits, last: 2021-10-10]
localstack/services/iam/iam_starter.py  [23 edits, last: 2021-07-16]
localstack/services/stepfunctions/stepfunctions_starter.py  [22 edits, last: 2021-11-22]
localstack/utils/cli.py  [22 edits, last: 2021-08-27]
localstack/utils/analytics/event_publisher.py  [21 edits, last: 2021-11-05]
localstack/services/plugins.py  [17 edits, last: 2021-11-03]
localstack/utils/server/multiserver.py  [17 edits, last: 2021-10-27]
localstack/__init__.py  [16 edits, last: 2021-11-24]
localstack/services/ses/ses_starter.py  [16 edits, last: 2021-11-05]
localstack/utils/cloudwatch/cloudwatch_util.py  [14 edits, last: 2021-10-30]
localstack/utils/kinesis/kclipy_helper.py  [14 edits, last: 2021-07-02]
localstack/services/awslambda/lambda_utils.py  [13 edits, last: 2021-10-28]
localstack/services/cloudformation/deployment_utils.py  [13 edits, last: 2021-10-27]
localstack/services/iam/iam_listener.py  [13 edits, last: 2021-11-17]
localstack/services/secretsmanager/secretsmanager_starter.py  [12 edits, last: 2021-10-18]
localstack/services/ssm/ssm_listener.py  [12 edits, last: 2021-11-11]
