localstack/utils/common.py  [174 edits, last: 2020-12-12]
localstack/services/awslambda/lambda_api.py  [170 edits, last: 2020-12-14]
localstack/constants.py  [147 edits, last: 2020-12-10]
localstack/services/s3/s3_listener.py  [137 edits, last: 2020-12-16]
localstack/utils/cloudformation/template_deployer.py  [112 edits, last: 2020-12-15]
localstack/services/cloudformation/cloudformation_starter.py  [107 edits, last: 2020-12-15]
localstack/services/infra.py  [100 edits, last: 2020-12-03]
localstack/utils/aws/aws_stack.py  [97 edits, last: 2020-12-15]
localstack/config.py  [95 edits, last: 2020-10-05]
localstack/services/awslambda/lambda_executors.py  [93 edits, last: 2020-12-16]
localstack/services/sns/sns_listener.py  [74 edits, last: 2020-12-05]
localstack/services/apigateway/apigateway_listener.py  [71 edits, last: 2020-12-10]
localstack/services/generic_proxy.py  [68 edits, last: 2020-11-04]
localstack/services/dynamodb/dynamodb_listener.py  [59 edits, last: 2020-11-08]
localstack/utils/bootstrap.py  [53 edits, last: 2020-11-29]
localstack/services/sqs/sqs_listener.py  [51 edits, last: 2020-11-04]
localstack/services/install.py  [50 edits, last: 2020-09-18]
localstack/utils/testutil.py  [49 edits, last: 2020-10-08]
localstack/utils/kinesis/kinesis_connector.py  [43 edits, last: 2020-08-10]
localstack/plugins.py  [41 edits, last: 2020-11-25]
localstack/services/edge.py  [40 edits, last: 2020-12-16]
localstack/services/cloudformation/cloudformation_listener.py  [39 edits, last: 2020-11-29]
localstack/dashboard/infra.py  [34 edits, last: 2020-11-30]
localstack/services/es/es_api.py  [30 edits, last: 2020-10-01]
localstack/utils/aws/aws_models.py  [30 edits, last: 2020-12-04]
localstack/services/kinesis/kinesis_listener.py  [28 edits, last: 2020-12-11]
localstack/services/s3/s3_starter.py  [28 edits, last: 2020-11-19]
localstack/services/es/es_starter.py  [26 edits, last: 2020-09-24]
localstack/services/firehose/firehose_api.py  [24 edits, last: 2020-09-24]
localstack/utils/aws/aws_responses.py  [22 edits, last: 2020-12-14]
localstack/services/dynamodbstreams/dynamodbstreams_api.py  [21 edits, last: 2020-10-24]
localstack/services/sqs/sqs_starter.py  [20 edits, last: 2020-12-03]
localstack/services/apigateway/apigateway_starter.py  [19 edits, last: 2020-11-29]
localstack/utils/persistence.py  [17 edits, last: 2020-07-18]
localstack/dashboard/api.py  [16 edits, last: 2020-10-12]
localstack/services/dynamodb/dynamodb_starter.py  [16 edits, last: 2020-09-24]
localstack/services/events/events_starter.py  [16 edits, last: 2020-12-16]
localstack/utils/server/http2_server.py  [16 edits, last: 2020-11-22]
localstack/utils/analytics/event_publisher.py  [15 edits, last: 2020-08-09]
localstack/services/cloudformation/service_models.py  [14 edits, last: 2020-11-29]
localstack/services/stepfunctions/stepfunctions_starter.py  [13 edits, last: 2020-09-24]
localstack/utils/kinesis/kclipy_helper.py  [13 edits, last: 2019-10-01]
localstack/utils/server/multiserver.py  [13 edits, last: 2020-09-15]
localstack/services/apigateway/helpers.py  [12 edits, last: 2020-09-26]
localstack/services/iam/iam_starter.py  [12 edits, last: 2020-11-29]
localstack/services/kinesis/kinesis_starter.py  [12 edits, last: 2020-09-24]
localstack/utils/cloudwatch/cloudwatch_util.py  [12 edits, last: 2020-10-10]
localstack/services/events/events_listener.py  [11 edits, last: 2020-10-02]
localstack/utils/cli.py  [11 edits, last: 2020-11-06]
localstack/services/iam/iam_listener.py  [9 edits, last: 2020-10-02]
localstack/services/secretsmanager/secretsmanager_starter.py  [8 edits, last: 2020-11-04]
localstack/utils/kinesis/kinesis_util.py  [7 edits, last: 2019-08-01]
localstack/services/plugins.py  [6 edits, last: 2020-12-14]
localstack/services/ec2/ec2_starter.py  [6 edits, last: 2020-08-05]
localstack/services/kms/kms_starter.py  [6 edits, last: 2020-09-24]
localstack/utils/async_utils.py  [6 edits, last: 2020-12-15]
localstack/utils/aws/dead_letter_queue.py  [6 edits, last: 2020-07-25]
localstack/services/ssm/ssm_listener.py  [5 edits, last: 2020-11-20]
localstack/services/stepfunctions/stepfunctions_listener.py  [4 edits, last: 2019-11-03]
localstack/stepfunctions/models.py  [4 edits, last: 2020-12-10]
localstack/utils/aws/templating.py  [4 edits, last: 2020-12-10]
localstack/services/logs/logs_listener.py  [3 edits, last: 2020-10-13]
localstack/services/logs/logs_starter.py  [3 edits, last: 2020-07-07]
localstack/services/s3/multipart_content.py  [3 edits, last: 2020-11-05]
localstack/utils/tagging.py  [3 edits, last: 2020-10-21]
localstack/utils/analytics/profiler.py  [3 edits, last: 2020-09-15]
localstack/services/awslambda/multivalue_transformer.py  [2 edits, last: 2020-06-09]
localstack/services/ec2/ec2_listener.py  [2 edits, last: 2020-10-14]
localstack/services/secretsmanager/secretsmanager_listener.py  [2 edits, last: 2020-12-08]
localstack/services/ses/ses_starter.py  [2 edits, last: 2020-03-20]
localstack/services/sts/sts_listener.py  [2 edits, last: 2020-10-02]
localstack/services/sts/sts_starter.py  [2 edits, last: 2020-05-21]
localstack/__init__.py  [1 edits, last: 2016-08-16]
localstack/dashboard/__init__.py  [1 edits, last: 2016-08-16]
localstack/services/__init__.py  [1 edits, last: 2017-07-02]
localstack/services/apigateway/__init__.py  [1 edits, last: 2017-07-02]
localstack/services/awslambda/__init__.py  [1 edits, last: 2017-07-02]
localstack/services/cloudformation/__init__.py  [1 edits, last: 2017-07-02]
localstack/services/cloudwatch/cloudwatch_listener.py  [1 edits, last: 2020-10-19]
localstack/services/cloudwatch/cloudwatch_starter.py  [1 edits, last: 2020-10-19]
localstack/services/dynamodb/__init__.py  [1 edits, last: 2017-07-02]
localstack/services/dynamodbstreams/__init__.py  [1 edits, last: 2017-07-02]
localstack/services/ec2/__init__.py  [1 edits, last: 2020-02-29]
localstack/services/es/__init__.py  [1 edits, last: 2017-07-02]
localstack/services/events/__init__.py  [1 edits, last: 2019-12-09]
localstack/services/events/scheduler.py  [1 edits, last: 2020-04-27]
localstack/services/firehose/__init__.py  [1 edits, last: 2017-07-02]
localstack/services/iam/__init__.py  [1 edits, last: 2019-03-08]
localstack/services/kinesis/__init__.py  [1 edits, last: 2017-07-02]
localstack/services/kms/__init__.py  [1 edits, last: 2019-12-07]
localstack/services/logs/__init__.py  [1 edits, last: 2020-01-26]
localstack/services/route53/__init__.py  [1 edits, last: 2020-11-18]
localstack/services/route53/route53_listener.py  [1 edits, last: 2020-11-18]
localstack/services/route53/route53_starter.py  [1 edits, last: 2020-11-25]
localstack/services/s3/__init__.py  [1 edits, last: 2017-07-02]
localstack/services/secretsmanager/__init__.py  [1 edits, last: 2020-03-14]
localstack/services/ses/__init__.py  [1 edits, last: 2020-03-17]
localstack/services/sns/__init__.py  [1 edits, last: 2017-07-02]
localstack/services/sqs/__init__.py  [1 edits, last: 2017-08-02]
localstack/services/ssm/__init__.py  [1 edits, last: 2020-04-08]
localstack/services/stepfunctions/__init__.py  [1 edits, last: 2019-02-18]
localstack/services/sts/__init__.py  [1 edits, last: 2020-04-20]
localstack/stepfunctions/__init__.py  [1 edits, last: 2019-02-20]
localstack/utils/__init__.py  [1 edits, last: 2016-08-16]
localstack/utils/auth.py  [1 edits, last: 2020-10-15]
localstack/utils/http_utils.py  [1 edits, last: 2020-06-10]
localstack/utils/analytics/__init__.py  [1 edits, last: 2017-07-20]
localstack/utils/aws/__init__.py  [1 edits, last: 2016-08-16]
localstack/utils/cloudformation/__init__.py  [1 edits, last: 2017-05-06]
localstack/utils/cloudwatch/__init__.py  [1 edits, last: 2017-05-16]
localstack/utils/kinesis/__init__.py  [1 edits, last: 2016-08-16]
localstack/utils/server/__init__.py  [1 edits, last: 2019-08-01]
