repo,tier,issue_idx,role,base_commit,commit_date,package_dir,n_source_files,n_ast_records,ast_map_chars,ast_map_tokens,compact_map_chars,compact_map_tokens,compact_reduction_pct,freq_map_chars,freq_map_tokens,cochange_map_chars,cochange_map_tokens,python_loc,total_loc,status,error_message,duration_seconds
core,large,16,flexible,91962e26,2018-06-23,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/core_full/homeassistant,1281,15859,3446017,861504,1227267,306816,64.4,93930,23482,234338,58584,218813,224995,success,,2895.6
core,large,20,single,f29e0bf5,2017-04-25,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/core_full/homeassistant,758,8955,1939405,484851,691966,172991,64.3,55403,13850,136185,34046,125230,131633,success,,
fastapi,small,9,multi,ea8d7f68,2021-07-03,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/fastapi_full/fastapi,41,250,56081,14020,26982,6745,51.9,2247,561,5130,1282,5306,5306,success,,43.1
fastapi,small,17,single,c6aa28be,2022-09-20,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/fastapi_full/fastapi,42,275,61937,15484,29777,7444,51.9,2314,578,5070,1267,5825,5825,success,,125.1
fastapi,small,20,flexible,1760da0e,2021-08-27,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/fastapi_full/fastapi,41,269,59008,14752,27617,6904,53.2,2247,561,4840,1210,5505,5505,success,,51.9
flask,small,3,single,07c7d573,2024-11-08,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/flask_full/src/flask,24,416,82970,20742,31921,7980,61.5,1253,313,2544,636,9169,9175,success,,27.6
flask,small,6,flexible,fb897454,2022-06-05,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/flask_full/src/flask,21,406,80037,20009,30984,7746,61.3,1071,267,2148,537,8469,8469,success,,25.6
flask,small,18,multi,465da9f6,2019-07-01,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/flask_full/src/flask,20,416,82012,20503,31597,7899,61.5,1007,251,2111,527,8284,8284,success,,29.6
gpt-engineer,small,9,single,3e589bf1,2024-06-06,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/gpt_engineer_full/gpt_engineer,34,195,44478,11119,19451,4862,56.3,2227,556,5709,1427,6032,6182,success,,60.6
gpt-engineer,small,11,flexible,7b91676a,2024-05-04,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/gpt_engineer_full/gpt_engineer,33,190,43499,10874,19080,4770,56.1,2169,542,5534,1383,6278,6779,success,,14.0
gpt-engineer,small,12,multi,19446faa,2024-02-13,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/gpt_engineer_full/gpt_engineer,29,124,29339,7334,13337,3334,54.5,1934,483,5045,1261,4547,5056,success,,20.5
keras,medium,5,flexible,d2803c0f,2018-07-18,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/keras_full/keras,81,1676,324037,81009,111907,27976,65.5,4615,1153,10320,2580,36734,36734,success,,124.4
keras,medium,9,single,ffb8b813,2018-02-20,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/keras_full/keras,73,1738,339866,84966,120994,30248,64.4,4142,1035,9234,2308,40376,40376,success,,136.2
keras,medium,12,multi,3d9428d3,2017-06-19,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/keras_full/keras,66,1473,284098,71024,99201,24800,65.1,3700,925,8214,2053,31744,31744,success,,113.0
localstack,medium,2,single,2fe8440b,2021-11-25,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/localstack_full/localstack,209,3182,634737,158684,182656,45664,71.2,14726,3681,35536,8884,46788,47248,success,,515.6
localstack,medium,9,flexible,dec1ba1b,2020-12-16,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/localstack_full/localstack,112,1539,300233,75058,84427,21106,71.9,7801,1950,18664,4666,23372,25120,success,,487.0
localstack,medium,19,multi,0cf839ae,2020-05-02,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/localstack_full/localstack,99,1223,236879,59219,65766,16441,72.2,6846,1711,16374,4093,18253,20001,success,,476.7
pandas,large,26,extra,abd5333e,2014-09-12,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/pandas_full/pandas,120,4708,880013,220003,293441,73360,66.7,6406,1601,13153,3288,191295,249516,success,,
pandas,large,35,single,2e087c78,2015-05-06,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/pandas_full/pandas,121,5018,943547,235886,317777,79444,66.3,6467,1616,13242,3310,212143,287979,success,,318.1
pandas,large,38,flexible,f09d514c,2022-11-09,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/pandas_full/pandas,294,7417,1510551,377637,542912,135728,64.1,17522,4380,39223,9805,550256,644779,success,,376.0
pandas,large,44,multi,b03df731,2013-06-18,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/pandas_full/pandas,103,3650,674101,168525,220457,55114,67.3,5402,1350,10927,2731,126015,170215,success,,278.6
requests,small,7,single,ac4e0587,2014-01-09,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/requests_full/requests,14,227,43765,10941,16273,4068,62.8,703,175,1400,350,15173,20207,success,,23.0
requests,small,12,multi,be62645d,2013-02-25,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/requests_full/requests,14,202,38280,9570,13899,3474,63.7,702,175,1385,346,13135,16425,success,,22.4
requests,small,13,flexible,16429967,2013-03-12,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/requests_full/requests,14,205,38817,9704,14053,3513,63.8,702,175,1375,343,13161,16451,success,,19.1
rich,medium,1,flexible,2ee992b1,2022-07-26,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/rich_full/rich,76,1021,192056,48014,78084,19521,59.3,3513,878,6289,1572,25843,25843,success,,31.6
rich,medium,8,single,9c0f164f,2022-11-30,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/rich_full/rich,78,1048,196395,49098,79163,19790,59.7,3607,901,6373,1593,26087,26087,success,,29.9
rich,medium,12,multi,a972ca05,2023-09-17,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/rich_full/rich,78,1074,201237,50309,81014,20253,59.7,3608,902,6378,1594,26407,26407,success,,28.1
scikit-learn,large,5,flexible,eaf0a044,2020-04-06,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/scikit_learn_full/sklearn,227,3081,694359,173589,289803,72450,58.3,14096,3524,33348,8337,212920,246744,success,,247.4
scikit-learn,large,45,multi,053d2d1a,2021-05-17,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/scikit_learn_full/sklearn,237,3345,754206,188551,312689,78172,58.5,14823,3705,35559,8889,238943,273723,success,,252.6
scikit-learn,large,49,single,9b42b0cc,2020-07-06,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/scikit_learn_full/sklearn,229,3140,708446,177111,295199,73799,58.3,14249,3562,34012,8503,218052,251997,success,,388.9
scrapy,medium,20,flexible,b337c986,2023-01-31,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/scrapy_full/scrapy,170,1771,328506,82126,100634,25158,69.4,9903,2475,22852,5713,21846,22895,success,,59.6
scrapy,medium,26,single,016c7e92,2021-06-15,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/scrapy_full/scrapy,170,1717,317514,79378,97131,24282,69.4,9872,2468,22886,5721,19347,20391,success,,64.3
scrapy,medium,48,multi,69398fa1,2015-09-21,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/scrapy_full/scrapy,232,1438,259197,64799,75239,18809,71.0,13937,3484,32676,8169,21470,22481,success,,68.8
stable-diffusion-webui,medium,0,single,f92d6149,2023-12-05,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/stable_diffusion_webui_full/modules,135,1726,320029,80007,99373,24843,68.9,7630,1907,15523,3880,30522,30522,success,,40.2
stable-diffusion-webui,medium,5,multi,d9499f43,2023-11-05,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/stable_diffusion_webui_full/modules,134,1699,316201,79050,98856,24714,68.7,7596,1899,15405,3851,30012,30012,success,,27.2
stable-diffusion-webui,medium,13,flexible,fab73f2e,2023-06-27,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/stable_diffusion_webui_full/modules,105,1406,261427,65356,82058,20514,68.6,5936,1484,11994,2998,25720,25720,success,,30.6
thefuck,small,5,single,fee874cd,2016-01-24,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/thefuck_full/thefuck,97,343,55334,13833,15154,3788,72.6,5533,1383,12136,3034,3285,3285,success,,38.7
thefuck,small,10,multi,6da0bc55,2021-04-21,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/thefuck_full/thefuck,203,621,102068,25517,27713,6928,72.8,12240,3060,23936,5984,6405,6405,success,,25.7
thefuck,small,20,flexible,18992f24,2017-09-27,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/thefuck_full/thefuck,160,504,82588,20647,22442,5610,72.8,9521,2380,22066,5516,5156,5156,success,,29.3
transformers,large,5,multi,eb3bd73c,2020-11-10,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/transformers_full/src/transformers,269,6314,1415439,353859,514549,128637,63.6,19598,4899,48743,12185,130534,130534,success,,908.2
transformers,large,25,single,8bbb53e2,2021-09-30,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/transformers_full/src/transformers,579,14110,3334256,833564,1157852,289463,65.3,48243,12060,127927,31981,300605,300606,success,,809.4
transformers,large,27,flexible,ba1b3db7,2021-09-01,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/transformers_full/src/transformers,567,13707,3243203,810800,1128358,282089,65.2,47256,11814,125184,31296,293835,293836,success,,808.4
yt-dlp,large,23,flexible,f14c2333,2023-02-09,/mnt/c/Users/afbla/Documents/Imperial/final_project/repos/ytdlp_full/yt_dlp,1072,7025,1181714,295428,335917,83979,71.6,61676,15419,135941,33985,199343,199343,success,,148.7
