repo,tier,issue_idx,role,total_tokens,skip_tokens_removed,skip_tokens_kept,skip_pct_removed,skip_dirs_hit,freq1_tokens_kept,freq1_pct_kept,freq1_gt_coverage,combined1_tokens_kept,freq2_tokens_kept,freq2_pct_kept,freq2_gt_coverage,combined2_tokens_kept,freq5_tokens_kept,freq5_pct_kept,freq5_gt_coverage,combined5_tokens_kept,freq10_tokens_kept,freq10_pct_kept,freq10_gt_coverage,combined10_tokens_kept,freq20_tokens_kept,freq20_pct_kept,freq20_gt_coverage,combined20_tokens_kept
requests,small,6,single,1069,0,1069,0.0,none,1069,100.0,100.0,1069,573,53.7,100.0,573,573,53.7,100.0,573,573,53.7,100.0,573,573,53.7,100.0,573
requests,small,18,multi,8633,0,8633,0.0,none,8633,100.0,100.0,8633,7997,92.6,100.0,7997,6166,71.4,100.0,6166,6166,71.4,100.0,6166,4900,56.8,100.0,4900
requests,small,7,flexible,9932,0,9932,0.0,none,9932,100.0,100.0,9932,8999,90.6,100.0,8999,8396,84.5,100.0,8396,7038,70.9,100.0,7038,5405,54.4,100.0,5405
thefuck,small,23,single,3861,0,3861,0.0,none,3861,100.0,100.0,3861,3679,95.3,100.0,3679,2592,67.1,100.0,2592,1578,40.9,100.0,1578,962,24.9,100.0,962
thefuck,small,16,multi,5992,0,5992,0.0,none,5992,100.0,100.0,5992,5796,96.7,100.0,5796,3840,64.1,100.0,3840,2620,43.7,50.0,2620,1490,24.9,0.0,1490
thefuck,small,14,flexible,4354,0,4354,0.0,none,4354,100.0,100.0,4354,3988,91.6,100.0,3988,3105,71.3,100.0,3105,1636,37.6,0.0,1636,1061,24.4,0.0,1061
flask,small,6,single,8014,0,8014,0.0,none,8014,100.0,100.0,8014,8014,100.0,100.0,8014,8014,100.0,100.0,8014,6918,86.3,100.0,6918,5394,67.3,100.0,5394
flask,small,17,multi,7783,0,7783,0.0,none,7783,100.0,100.0,7783,7783,100.0,100.0,7783,6927,89.0,100.0,6927,6927,89.0,100.0,6927,6456,83.0,50.0,6456
flask,small,11,flexible,8108,0,8108,0.0,none,8108,100.0,0.0,8108,8108,100.0,0.0,8108,8108,100.0,0.0,8108,6784,83.7,0.0,6784,3856,47.6,0.0,3856
gpt-engineer,small,18,multi,2135,0,2135,0.0,none,2135,100.0,100.0,2135,2135,100.0,100.0,2135,1357,63.6,50.0,1357,212,9.9,0.0,212,0,0.0,0.0,0
gpt-engineer,small,27,flexible,1621,0,1621,0.0,none,1621,100.0,100.0,1621,1621,100.0,100.0,1621,1621,100.0,100.0,1621,1377,84.9,0.0,1377,553,34.1,0.0,553
Deep-Live-Cam,small,1,single,1146,0,1146,0.0,none,1146,100.0,100.0,1146,1146,100.0,100.0,1146,687,60.0,100.0,687,632,55.2,100.0,632,349,30.5,0.0,349
Deep-Live-Cam,small,11,multi,873,0,873,0.0,none,873,100.0,100.0,873,632,72.3,100.0,632,218,25.0,50.0,218,218,25.0,50.0,218,0,0.0,0.0,0
