interpreter/core/core.py  [103 edits, last: 2024-01-13]
interpreter/core/respond.py  [97 edits, last: 2024-01-13]
interpreter/terminal_interface/terminal_interface.py  [89 edits, last: 2024-01-03]
interpreter/terminal_interface/start_terminal_interface.py  [58 edits, last: 2024-01-15]
interpreter/terminal_interface/validate_llm_settings.py  [38 edits, last: 2024-01-16]
interpreter/terminal_interface/magic_commands.py  [34 edits, last: 2024-01-13]
interpreter/core/computer/mouse/mouse.py  [25 edits, last: 2024-01-04]
interpreter/__init__.py  [24 edits, last: 2024-01-07]
interpreter/core/computer/display/display.py  [21 edits, last: 2024-01-08]
interpreter/core/computer/computer.py  [17 edits, last: 2024-01-01]
interpreter/terminal_interface/conversation_navigator.py  [12 edits, last: 2023-12-17]
interpreter/core/computer/keyboard/keyboard.py  [11 edits, last: 2024-01-03]
interpreter/core/utils/system_debug_info.py  [10 edits, last: 2024-01-06]
interpreter/terminal_interface/utils/display_output.py  [10 edits, last: 2024-01-13]
interpreter/terminal_interface/utils/get_config.py  [10 edits, last: 2024-01-16]
interpreter/core/llm/llm.py  [9 edits, last: 2024-01-04]
interpreter/terminal_interface/components/code_block.py  [9 edits, last: 2023-12-09]
interpreter/terminal_interface/components/message_block.py  [8 edits, last: 2023-12-09]
interpreter/core/computer/terminal/terminal.py  [7 edits, last: 2024-01-13]
interpreter/core/rag/get_relevant_procedures_string.py  [7 edits, last: 2023-12-28]
interpreter/terminal_interface/render_past_conversation.py  [7 edits, last: 2023-12-09]
interpreter/terminal_interface/utils/apply_config.py  [7 edits, last: 2024-01-01]
interpreter/core/extend_system_message.py  [6 edits, last: 2024-01-04]
interpreter/core/computer/os/os.py  [6 edits, last: 2024-01-03]
interpreter/core/computer/terminal/languages/jupyter_language.py  [6 edits, last: 2024-01-01]
interpreter/core/computer/utils/computer_vision.py  [5 edits, last: 2024-01-01]
interpreter/core/utils/scan_code.py  [5 edits, last: 2023-12-28]
interpreter/core/computer/clipboard/clipboard.py  [4 edits, last: 2023-12-26]
interpreter/core/llm/run_function_calling_llm.py  [4 edits, last: 2023-12-28]
interpreter/core/llm/run_text_llm.py  [4 edits, last: 2024-01-01]
interpreter/core/llm/utils/convert_to_openai_messages.py  [4 edits, last: 2024-01-01]
interpreter/terminal_interface/components/base_block.py  [4 edits, last: 2023-10-30]
interpreter/terminal_interface/utils/count_tokens.py  [4 edits, last: 2024-01-03]
interpreter/core/default_system_message.py  [3 edits, last: 2023-12-18]
interpreter/core/computer/terminal/languages/subprocess_language.py  [3 edits, last: 2023-12-28]
interpreter/core/__init__.py  [2 edits, last: 2023-09-21]
interpreter/core/computer/terminal/base_language.py  [2 edits, last: 2024-01-06]
interpreter/core/computer/terminal/languages/ARCHIVE_subprocess_python.py  [2 edits, last: 2023-12-17]
interpreter/core/computer/terminal/languages/javascript.py  [2 edits, last: 2024-01-04]
interpreter/core/computer/terminal/languages/react.py  [2 edits, last: 2023-12-10]
interpreter/core/computer/terminal/languages/shell.py  [2 edits, last: 2023-12-10]
interpreter/core/llm/utils/merge_deltas.py  [2 edits, last: 2023-12-27]
interpreter/core/llm/utils/parse_partial_json.py  [2 edits, last: 2024-01-13]
interpreter/core/rag/ARCHIVE_local_get_relevant_procedures_string.py  [2 edits, last: 2023-12-28]
interpreter/core/utils/telemetry.py  [2 edits, last: 2024-01-14]
interpreter/terminal_interface/__init__.py  [2 edits, last: 2023-09-22]
interpreter/core/computer/__init__.py  [1 edits, last: 2023-11-24]
interpreter/core/computer/clipboard/__init__.py  [1 edits, last: 2023-12-10]
interpreter/core/computer/display/__init__.py  [1 edits, last: 2023-12-09]
interpreter/core/computer/keyboard/__init__.py  [1 edits, last: 2023-12-09]
interpreter/core/computer/mouse/__init__.py  [1 edits, last: 2023-12-09]
interpreter/core/computer/os/__init__.py  [1 edits, last: 2023-12-20]
interpreter/core/computer/terminal/__init__.py  [1 edits, last: 2023-12-09]
interpreter/core/computer/terminal/languages/__init__.py  [1 edits, last: 2023-12-09]
interpreter/core/computer/terminal/languages/applescript.py  [1 edits, last: 2023-12-09]
interpreter/core/computer/terminal/languages/html.py  [1 edits, last: 2023-12-09]
interpreter/core/computer/terminal/languages/powershell.py  [1 edits, last: 2023-12-09]
interpreter/core/computer/terminal/languages/python.py  [1 edits, last: 2023-12-09]
interpreter/core/computer/terminal/languages/r.py  [1 edits, last: 2023-12-09]
interpreter/core/computer/utils/get_active_window.py  [1 edits, last: 2024-01-03]
interpreter/core/computer/utils/html_to_png_base64.py  [1 edits, last: 2023-12-09]
interpreter/core/computer/utils/recipient_utils.py  [1 edits, last: 2024-01-01]
interpreter/core/llm/__init__.py  [1 edits, last: 2023-11-19]
interpreter/core/rag/__init__.py  [1 edits, last: 2023-11-19]
interpreter/core/utils/ARCHIVE_embed.py  [1 edits, last: 2023-11-19]
interpreter/core/utils/ARCHIVE_vector_search.py  [1 edits, last: 2023-11-19]
interpreter/core/utils/__init__.py  [1 edits, last: 2023-11-19]
interpreter/core/utils/get_user_info_string.py  [1 edits, last: 2023-11-19]
interpreter/core/utils/temporary_file.py  [1 edits, last: 2023-11-19]
