interpreter/cli/cli.py  [11 edits, last: 2023-09-23]
interpreter/core/respond.py  [11 edits, last: 2023-09-23]
interpreter/core/core.py  [10 edits, last: 2023-09-22]
interpreter/llm/setup_text_llm.py  [9 edits, last: 2023-09-23]
interpreter/llm/setup_openai_coding_llm.py  [8 edits, last: 2023-09-22]
interpreter/__init__.py  [6 edits, last: 2023-09-17]
interpreter/code_interpreters/languages/python.py  [5 edits, last: 2023-09-22]
interpreter/code_interpreters/create_code_interpreter.py  [4 edits, last: 2023-09-22]
interpreter/code_interpreters/subprocess_code_interpreter.py  [4 edits, last: 2023-09-22]
interpreter/terminal_interface/validate_llm_settings.py  [4 edits, last: 2023-09-22]
interpreter/code_interpreters/base_code_interpreter.py  [3 edits, last: 2023-09-22]
interpreter/code_interpreters/languages/javascript.py  [3 edits, last: 2023-09-23]
interpreter/code_interpreters/languages/r.py  [3 edits, last: 2023-09-23]
interpreter/llm/convert_to_coding_llm.py  [3 edits, last: 2023-09-22]
interpreter/llm/setup_llm.py  [3 edits, last: 2023-09-22]
interpreter/terminal_interface/magic_commands.py  [3 edits, last: 2023-09-24]
interpreter/utils/convert_to_openai_messages.py  [3 edits, last: 2023-09-22]
interpreter/archive/interpreter.py  [2 edits, last: 2023-09-21]
interpreter/code_interpreters/languages/applescript.py  [2 edits, last: 2023-09-22]
interpreter/code_interpreters/languages/html.py  [2 edits, last: 2023-09-22]
interpreter/code_interpreters/languages/shell.py  [2 edits, last: 2023-09-22]
interpreter/llm/setup_local_text_llm.py  [2 edits, last: 2023-09-22]
interpreter/terminal_interface/terminal_interface.py  [2 edits, last: 2023-09-22]
interpreter/terminal_interface/components/code_block.py  [2 edits, last: 2023-09-22]
interpreter/utils/get_user_info_string.py  [2 edits, last: 2023-09-22]
interpreter/archive/(wip)_model_explorer.py  [1 edits, last: 2023-09-21]
interpreter/archive/cli.py  [1 edits, last: 2023-09-17]
interpreter/archive/code_block.py  [1 edits, last: 2023-09-17]
interpreter/archive/code_interpreter.py  [1 edits, last: 2023-09-17]
interpreter/archive/get_hf_llm.py  [1 edits, last: 2023-09-17]
interpreter/archive/message_block.py  [1 edits, last: 2023-09-17]
interpreter/archive/utils.py  [1 edits, last: 2023-09-17]
interpreter/cli/__init__.py  [1 edits, last: 2023-09-21]
interpreter/code_interpreters/__init__.py  [1 edits, last: 2023-09-21]
interpreter/code_interpreters/languages/__init__.py  [1 edits, last: 2023-09-20]
interpreter/core/__init__.py  [1 edits, last: 2023-09-21]
interpreter/llm/__init__.py  [1 edits, last: 2023-09-21]
interpreter/rag/__init__.py  [1 edits, last: 2023-09-21]
interpreter/rag/get_relevant_procedures.py  [1 edits, last: 2023-09-21]
interpreter/terminal_interface/__init__.py  [1 edits, last: 2023-09-22]
interpreter/terminal_interface/conversation_navigator.py  [1 edits, last: 2023-09-22]
interpreter/terminal_interface/render_past_conversation.py  [1 edits, last: 2023-09-22]
interpreter/terminal_interface/components/base_block.py  [1 edits, last: 2023-09-22]
interpreter/terminal_interface/components/message_block.py  [1 edits, last: 2023-09-22]
interpreter/utils/__init__.py  [1 edits, last: 2023-09-21]
interpreter/utils/check_for_update.py  [1 edits, last: 2023-09-22]
interpreter/utils/display_markdown_message.py  [1 edits, last: 2023-09-22]
interpreter/utils/get_config.py  [1 edits, last: 2023-09-21]
interpreter/utils/get_conversations.py  [1 edits, last: 2023-09-21]
interpreter/utils/get_local_models_paths.py  [1 edits, last: 2023-09-21]
interpreter/utils/merge_deltas.py  [1 edits, last: 2023-09-21]
interpreter/utils/parse_partial_json.py  [1 edits, last: 2023-09-21]
interpreter/utils/truncate_output.py  [1 edits, last: 2023-09-22]
