pandas/core/frame.py  [1334 edits, last: 2015-05-04]
pandas/core/series.py  [824 edits, last: 2015-05-01]
pandas/core/index.py  [668 edits, last: 2015-05-04]
pandas/core/groupby.py  [476 edits, last: 2015-05-05]
pandas/core/common.py  [457 edits, last: 2015-05-01]
pandas/core/internals.py  [454 edits, last: 2015-04-29]
pandas/core/generic.py  [381 edits, last: 2015-05-01]
pandas/io/parsers.py  [342 edits, last: 2015-04-17]
pandas/io/pytables.py  [322 edits, last: 2015-04-04]
pandas/core/panel.py  [316 edits, last: 2015-05-01]
pandas/tools/plotting.py  [312 edits, last: 2015-04-20]
pandas/tseries/index.py  [269 edits, last: 2015-04-19]
pandas/core/format.py  [246 edits, last: 2015-04-28]
pandas/core/indexing.py  [236 edits, last: 2015-04-26]
pandas/util/testing.py  [195 edits, last: 2015-04-23]
pandas/tseries/period.py  [152 edits, last: 2015-04-19]
pandas/tools/merge.py  [145 edits, last: 2015-03-11]
pandas/core/datetools.py  [124 edits, last: 2014-04-22]
pandas/core/reshape.py  [121 edits, last: 2015-05-04]
pandas/core/matrix.py  [112 edits, last: 2011-06-14]
pandas/io/sql.py  [104 edits, last: 2015-04-14]
pandas/core/sparse.py  [95 edits, last: 2013-11-16]
pandas/io/data.py  [92 edits, last: 2015-03-28]
pandas/tseries/offsets.py  [90 edits, last: 2015-04-26]
pandas/tseries/frequencies.py  [88 edits, last: 2015-05-04]
pandas/core/nanops.py  [86 edits, last: 2015-03-09]
pandas/sparse/frame.py  [84 edits, last: 2015-04-14]
pandas/stats/moments.py  [84 edits, last: 2014-09-17]
pandas/tseries/resample.py  [84 edits, last: 2015-04-14]
pandas/tools/rplot.py  [83 edits, last: 2015-03-04]
pandas/tseries/tools.py  [79 edits, last: 2015-04-06]
pandas/core/algorithms.py  [74 edits, last: 2015-03-08]
pandas/core/strings.py  [74 edits, last: 2015-05-04]
pandas/stats/plm.py  [74 edits, last: 2014-10-25]
pandas/__init__.py  [72 edits, last: 2015-03-10]
pandas/core/categorical.py  [70 edits, last: 2015-04-29]
pandas/stats/ols.py  [69 edits, last: 2013-09-28]
pandas/src/generate_code.py  [67 edits, last: 2015-04-14]
pandas/core/base.py  [58 edits, last: 2015-05-04]
pandas/core/api.py  [55 edits, last: 2015-04-20]
pandas/sparse/series.py  [53 edits, last: 2015-03-02]
pandas/tools/pivot.py  [53 edits, last: 2015-03-03]
pandas/core/config_init.py  [51 edits, last: 2014-10-04]
pandas/io/stata.py  [48 edits, last: 2015-04-30]
pandas/tseries/plotting.py  [47 edits, last: 2014-08-06]
pandas/core/config.py  [45 edits, last: 2015-03-04]
pandas/io/excel.py  [44 edits, last: 2015-02-22]
pandas/io/html.py  [36 edits, last: 2015-04-14]
pandas/tools/tile.py  [36 edits, last: 2014-10-24]
pandas/core/ops.py  [35 edits, last: 2015-04-28]
pandas/tseries/converter.py  [35 edits, last: 2014-12-12]
pandas/computation/expr.py  [32 edits, last: 2014-06-01]
pandas/sparse/panel.py  [31 edits, last: 2015-04-14]
pandas/sparse/array.py  [29 edits, last: 2014-11-09]
pandas/io/json.py  [28 edits, last: 2015-04-14]
pandas/stats/var.py  [28 edits, last: 2013-07-28]
pandas/util/decorators.py  [28 edits, last: 2014-11-08]
pandas/rpy/common.py  [27 edits, last: 2014-09-29]
pandas/computation/ops.py  [22 edits, last: 2014-10-18]
pandas/computation/pytables.py  [22 edits, last: 2014-11-16]
pandas/stats/interface.py  [22 edits, last: 2014-09-23]
pandas/stats/fama_macbeth.py  [21 edits, last: 2013-07-28]
pandas/util/print_versions.py  [21 edits, last: 2015-03-08]
pandas/io/common.py  [20 edits, last: 2015-02-28]
pandas/core/panelnd.py  [19 edits, last: 2015-04-14]
pandas/tseries/timedeltas.py  [19 edits, last: 2015-04-13]
pandas/io/clipboard.py  [18 edits, last: 2014-09-23]
pandas/io/wb.py  [18 edits, last: 2014-10-27]
pandas/computation/align.py  [17 edits, last: 2014-02-23]
pandas/computation/eval.py  [17 edits, last: 2014-08-12]
pandas/tseries/tdi.py  [17 edits, last: 2015-04-29]
pandas/io/gbq.py  [16 edits, last: 2015-05-01]
pandas/tseries/base.py  [16 edits, last: 2015-05-04]
pandas/io/packers.py  [15 edits, last: 2015-04-01]
pandas/compat/__init__.py  [14 edits, last: 2014-02-20]
pandas/stats/math.py  [14 edits, last: 2013-09-24]
pandas/stats/misc.py  [14 edits, last: 2014-05-31]
pandas/io/ga.py  [13 edits, last: 2014-11-11]
pandas/tools/util.py  [13 edits, last: 2015-03-03]
pandas/util/clipboard.py  [13 edits, last: 2013-12-01]
pandas/computation/expressions.py  [12 edits, last: 2014-08-19]
pandas/io/pickle.py  [12 edits, last: 2014-08-06]
pandas/tseries/util.py  [12 edits, last: 2014-04-27]
pandas/core/panel4d.py  [11 edits, last: 2013-11-16]
pandas/io/date_converters.py  [11 edits, last: 2013-12-08]
pandas/computation/engines.py  [10 edits, last: 2014-02-23]
pandas/stats/common.py  [10 edits, last: 2013-07-28]
pandas/tseries/api.py  [9 edits, last: 2014-09-13]
pandas/util/terminal.py  [9 edits, last: 2013-07-28]
pandas/io/api.py  [8 edits, last: 2014-04-18]
pandas/sandbox/qtpandas.py  [8 edits, last: 2015-03-08]
pandas/tseries/common.py  [8 edits, last: 2015-05-05]
pandas/io/auth.py  [7 edits, last: 2013-12-08]
pandas/tseries/holiday.py  [7 edits, last: 2015-04-14]
pandas/compat/pickle_compat.py  [6 edits, last: 2014-08-06]
pandas/computation/common.py  [6 edits, last: 2014-02-23]
pandas/computation/scope.py  [6 edits, last: 2014-06-01]
pandas/rpy/__init__.py  [6 edits, last: 2015-03-08]
pandas/info.py  [5 edits, last: 2012-04-03]
pandas/sparse/api.py  [5 edits, last: 2013-08-16]
pandas/sparse/list.py  [5 edits, last: 2013-08-16]
pandas/stats/api.py  [5 edits, last: 2011-06-14]
pandas/compat/openpyxl_compat.py  [4 edits, last: 2014-09-17]
pandas/io/__init__.py  [3 edits, last: 2013-07-28]
pandas/rpy/base.py  [3 edits, last: 2013-01-03]
pandas/util/misc.py  [3 edits, last: 2013-06-14]
pandas/compat/chainmap.py  [2 edits, last: 2014-02-20]
pandas/compat/chainmap_impl.py  [2 edits, last: 2014-02-20]
pandas/rpy/mass.py  [2 edits, last: 2012-10-19]
pandas/rpy/vars.py  [2 edits, last: 2012-10-19]
pandas/sparse/scipy_sparse.py  [2 edits, last: 2015-03-04]
pandas/tseries/interval.py  [2 edits, last: 2012-10-19]
pandas/computation/__init__.py  [1 edits, last: 2013-09-16]
pandas/computation/api.py  [1 edits, last: 2013-09-16]
pandas/core/__init__.py  [1 edits, last: 2009-08-05]
pandas/sandbox/__init__.py  [1 edits, last: 2009-10-22]
pandas/sparse/__init__.py  [1 edits, last: 2011-12-10]
pandas/stats/__init__.py  [1 edits, last: 2009-09-01]
pandas/tools/__init__.py  [1 edits, last: 2011-10-22]
pandas/tseries/__init__.py  [1 edits, last: 2012-04-06]
pandas/util/__init__.py  [1 edits, last: 2009-11-21]
