repo,tier,issue_idx,role,freq_n_total,freq_n_kept,freq_n_pruned,freq_tokens_before,freq_tokens_after,freq_pruned_files,cochange_n_total,cochange_n_kept,cochange_n_pruned,cochange_tokens_before,cochange_tokens_after,cochange_pruned_files
core,large,16,flexible,1281,1281,0,23482,23482,,1281,1170,111,60349,54985,homeassistant/auth_providers/__init__.py;homeassistant/auth_providers/homeassistant.py;homeassistant/components/binary_sensor/august.py;homeassistant/components/binary_sensor/homematicip_cloud.py;homeassistant/components/binary_sensor/hydrawise.py;homeassistant/components/binary_sensor/satel_integra.py;homeassistant/components/binary_sensor/tellduslive.py;homeassistant/components/binary_sensor/velbus.py;homeassistant/components/binary_sensor/wirelesstag.py;homeassistant/components/camera/august.py;homeassistant/components/camera/skybell.py;homeassistant/components/camera/xiaomi.py;homeassistant/components/cast/__init__.py;homeassistant/components/climate/homematicip_cloud.py;homeassistant/components/climate/modbus.py;homeassistant/components/climate/zhong_hong.py;homeassistant/components/config/customize.py;homeassistant/components/config/script.py;homeassistant/components/conversation/__init__.py;homeassistant/components/cover/group.py;homeassistant/components/cover/ryobi_gdo.py;homeassistant/components/cover/velbus.py;homeassistant/components/daikin.py;homeassistant/components/device_tracker/freebox.py;homeassistant/components/freedns.py;homeassistant/components/fritzbox.py;homeassistant/components/google_assistant/helpers.py;homeassistant/components/hue/const.py;homeassistant/components/hue/errors.py;homeassistant/components/hydrawise.py;homeassistant/components/ihc/const.py;homeassistant/components/intent_script.py;homeassistant/components/light/ads.py;homeassistant/components/light/homekit_controller.py;homeassistant/components/light/homematicip_cloud.py;homeassistant/components/light/lw12wifi.py;homeassistant/components/light/velbus.py;homeassistant/components/lock/august.py;homeassistant/components/lock/kiwi.py;homeassistant/components/lock/xiaomi_aqara.py;homeassistant/components/mailgun.py;homeassistant/components/media_player/epson.py;homeassistant/components/media_player/horizon.py;homeassistant/components/media_player/ue_smart_radio.py;homeassistant/components/media_player/ziggo_mediabox_xl.py;homeassistant/components/nest/const.py;homeassistant/components/nest/local_auth.py;homeassistant/components/netgear_lte.py;homeassistant/components/notify/clickatell.py;homeassistant/components/notify/flock.py;homeassistant/components/notify/mycroft.py;homeassistant/components/notify/netgear_lte.py;homeassistant/components/notify/stride.py;homeassistant/components/notify/synology_chat.py;homeassistant/components/notify/yessssms.py;homeassistant/components/recorder/const.py;homeassistant/components/rpi_pfio.py;homeassistant/components/sabnzbd.py;homeassistant/components/satel_integra.py;homeassistant/components/sensor/discogs.py;homeassistant/components/sensor/filesize.py;homeassistant/components/sensor/hydrawise.py;homeassistant/components/sensor/juicenet.py;homeassistant/components/sensor/mitemp_bt.py;homeassistant/components/sensor/netgear_lte.py;homeassistant/components/sensor/nsw_fuel_station.py;homeassistant/components/sensor/rainbird.py;homeassistant/components/sensor/sense.py;homeassistant/components/sensor/skybell.py;homeassistant/components/sensor/sochain.py;homeassistant/components/sensor/socialblade.py;homeassistant/components/sensor/syncthru.py;homeassistant/components/sensor/tank_utility.py;homeassistant/components/sensor/uscis.py;homeassistant/components/sensor/wirelesstag.py;homeassistant/components/sensor/zestimate.py;homeassistant/components/sonos/__init__.py;homeassistant/components/spaceapi.py;homeassistant/components/switch/amcrest.py;homeassistant/components/switch/eufy.py;homeassistant/components/switch/homekit_controller.py;homeassistant/components/switch/homematicip_cloud.py;homeassistant/components/switch/hydrawise.py;homeassistant/components/switch/skybell.py;homeassistant/components/switch/smappee.py;homeassistant/components/switch/tahoma.py;homeassistant/components/switch/upcloud.py;homeassistant/components/switch/velbus.py;homeassistant/components/switch/wirelesstag.py;homeassistant/components/telegram_bot/broadcast.py;homeassistant/components/thethingsnetwork.py;homeassistant/components/tts/baidu.py;homeassistant/components/tts/microsoft.py;homeassistant/components/velbus.py;homeassistant/components/vultr.py;homeassistant/components/watson_iot.py;homeassistant/components/weather/bom.py;homeassistant/components/weather/ipma.py;homeassistant/components/weather/metoffice.py;homeassistant/components/weather/zamg.py;homeassistant/components/wirelesstag.py;homeassistant/components/zone/config_flow.py;homeassistant/components/zone/const.py;homeassistant/components/zone/zone.py;homeassistant/helpers/config_entry_flow.py;homeassistant/helpers/entity_values.py;homeassistant/helpers/icon.py;homeassistant/helpers/signal.py;homeassistant/util/async_.py;homeassistant/util/decorator.py;homeassistant/util/distance.py
core,large,20,single,758,758,0,13850,13850,,758,758,0,35072,34046,
fastapi,small,9,multi,41,41,0,561,561,,41,41,0,1344,1282,
fastapi,small,17,single,42,42,0,578,578,,42,42,0,1329,1267,
fastapi,small,20,flexible,41,41,0,561,561,,41,41,0,1271,1210,
flask,small,3,single,24,24,0,313,313,,24,24,0,672,636,
flask,small,6,flexible,21,21,0,267,267,,21,21,0,568,537,
flask,small,18,multi,20,20,0,251,251,,20,20,0,557,527,
gpt-engineer,small,9,single,34,34,0,556,556,,34,34,0,1476,1427,
gpt-engineer,small,11,flexible,33,33,0,542,542,,33,33,0,1431,1383,
gpt-engineer,small,12,multi,29,29,0,483,483,,29,29,0,1304,1261,
keras,medium,5,flexible,81,81,0,1153,1153,,81,81,0,2700,2580,
keras,medium,9,single,73,73,0,1035,1035,,73,73,0,2416,2308,
keras,medium,12,multi,66,66,0,925,925,,66,66,0,2151,2053,
localstack,medium,2,single,209,209,0,3681,3681,,209,209,0,9187,8884,
localstack,medium,9,flexible,112,112,0,1950,1950,,112,112,0,4833,4666,
localstack,medium,19,multi,99,99,0,1711,1711,,99,99,0,4241,4093,
pandas,large,26,extra,120,120,0,1601,1601,,120,120,0,3460,3288,
pandas,large,35,single,121,121,0,1616,1616,,121,121,0,3483,3310,
pandas,large,38,flexible,294,294,0,4380,4380,,294,294,0,10243,9805,
pandas,large,44,multi,103,103,0,1350,1350,,103,103,0,2878,2731,
requests,small,7,single,14,14,0,175,175,,14,14,0,371,350,
requests,small,12,multi,14,14,0,175,175,,14,14,0,367,346,
requests,small,13,flexible,14,14,0,175,175,,14,14,0,364,343,
rich,medium,1,flexible,76,76,0,878,878,,76,76,0,1682,1572,
rich,medium,8,single,78,78,0,901,901,,78,78,0,1704,1593,
rich,medium,12,multi,78,78,0,902,902,,78,78,0,1706,1594,
scikit-learn,large,5,flexible,227,227,0,3524,3524,,227,227,0,8674,8337,
scikit-learn,large,45,multi,237,237,0,3705,3705,,237,237,0,9240,8889,
scikit-learn,large,49,single,229,229,0,3562,3562,,229,229,0,8844,8503,
scrapy,medium,20,flexible,170,170,0,2475,2475,,170,170,0,5967,5713,
scrapy,medium,26,single,170,170,0,2468,2468,,170,170,0,5974,5721,
scrapy,medium,48,multi,232,232,0,3484,3484,,232,232,0,8505,8169,
stable-diffusion-webui,medium,0,single,135,135,0,1907,1907,,135,135,0,4077,3880,
stable-diffusion-webui,medium,5,multi,134,134,0,1899,1899,,134,134,0,4045,3851,
stable-diffusion-webui,medium,13,flexible,105,105,0,1484,1484,,105,105,0,3151,2998,
thefuck,small,5,single,97,97,0,1383,1383,,97,97,0,3174,3034,
thefuck,small,10,multi,203,203,0,3060,3060,,203,203,0,6230,5984,
thefuck,small,20,flexible,160,160,0,2380,2380,,160,160,0,5751,5516,
transformers,large,5,multi,269,269,0,4899,4899,,269,269,0,12583,12185,
transformers,large,25,single,579,579,0,12060,12060,,579,579,0,32842,31981,
transformers,large,27,flexible,567,567,0,11814,11814,,567,567,0,32142,31296,
yt-dlp,large,23,flexible,1072,1072,0,15419,15419,,1072,1072,0,35540,33985,
yt-dlp,large,41,single,1120,1120,0,16114,16114,,1120,1120,0,36655,35069,
yt-dlp,large,45,multi,1071,1071,0,15430,15430,,1071,1071,0,36207,34644,
