requests/models.py  [557 edits, last: 2013-12-28]
requests/sessions.py  [206 edits, last: 2013-12-28]
requests/utils.py  [149 edits, last: 2014-01-07]
requests/api.py  [106 edits, last: 2013-11-04]
requests/__init__.py  [102 edits, last: 2014-01-09]
requests/auth.py  [78 edits, last: 2013-12-04]
requests/adapters.py  [72 edits, last: 2013-12-28]
requests/cookies.py  [52 edits, last: 2013-12-18]
requests/exceptions.py  [27 edits, last: 2014-01-09]
requests/compat.py  [24 edits, last: 2013-12-18]
requests/hooks.py  [23 edits, last: 2013-02-13]
requests/structures.py  [23 edits, last: 2013-07-22]
requests/status_codes.py  [17 edits, last: 2013-07-13]
requests/certs.py  [4 edits, last: 2013-01-27]
