sklearn/tree/tree.py  [320 edits, last: 2014-12-29]
sklearn/metrics/metrics.py  [268 edits, last: 2014-12-22]
sklearn/ensemble/gradient_boosting.py  [261 edits, last: 2014-12-29]
sklearn/ensemble/forest.py  [230 edits, last: 2014-12-29]
sklearn/linear_model/stochastic_gradient.py  [217 edits, last: 2014-12-29]
sklearn/cross_validation.py  [197 edits, last: 2014-12-29]
sklearn/svm/base.py  [191 edits, last: 2014-12-03]
sklearn/tests/test_common.py  [190 edits, last: 2014-12-18]
sklearn/grid_search.py  [186 edits, last: 2014-12-19]
sklearn/cluster/k_means_.py  [185 edits, last: 2014-11-21]
sklearn/linear_model/coordinate_descent.py  [184 edits, last: 2014-12-27]
sklearn/feature_extraction/text.py  [175 edits, last: 2014-09-22]
sklearn/cluster/hierarchical.py  [173 edits, last: 2014-12-20]
sklearn/metrics/pairwise.py  [172 edits, last: 2014-12-24]
sklearn/linear_model/ridge.py  [161 edits, last: 2014-12-29]
sklearn/tree/tests/test_tree.py  [150 edits, last: 2014-11-26]
sklearn/ensemble/weight_boosting.py  [138 edits, last: 2014-11-07]
sklearn/linear_model/logistic.py  [127 edits, last: 2014-11-30]
sklearn/tests/test_cross_validation.py  [127 edits, last: 2014-12-25]
sklearn/linear_model/base.py  [117 edits, last: 2014-11-14]
sklearn/linear_model/least_angle.py  [116 edits, last: 2014-11-30]
sklearn/svm/tests/test_svm.py  [116 edits, last: 2014-12-09]
sklearn/naive_bayes.py  [106 edits, last: 2014-12-16]
sklearn/linear_model/tests/test_sgd.py  [105 edits, last: 2014-12-29]
sklearn/svm/classes.py  [103 edits, last: 2014-12-24]
sklearn/hmm.py  [102 edits, last: 2014-06-07]
sklearn/utils/extmath.py  [100 edits, last: 2014-09-22]
sklearn/datasets/samples_generator.py  [99 edits, last: 2014-10-08]
sklearn/ensemble/tests/test_gradient_boosting.py  [97 edits, last: 2014-10-24]
sklearn/cluster/tests/test_k_means.py  [92 edits, last: 2014-11-21]
sklearn/decomposition/pca.py  [90 edits, last: 2014-08-06]
sklearn/feature_extraction/tests/test_text.py  [90 edits, last: 2014-10-12]
sklearn/utils/testing.py  [90 edits, last: 2014-12-18]
sklearn/decomposition/fastica_.py  [88 edits, last: 2014-07-28]
sklearn/ensemble/tests/test_forest.py  [88 edits, last: 2014-11-06]
sklearn/cluster/spectral.py  [86 edits, last: 2014-07-28]
sklearn/tests/test_grid_search.py  [86 edits, last: 2014-12-25]
sklearn/feature_selection/univariate_selection.py  [85 edits, last: 2014-10-08]
sklearn/metrics/cluster/supervised.py  [83 edits, last: 2014-09-13]
sklearn/mixture/gmm.py  [83 edits, last: 2014-10-18]
sklearn/metrics/tests/test_pairwise.py  [82 edits, last: 2014-12-24]
sklearn/multiclass.py  [81 edits, last: 2014-11-30]
sklearn/decomposition/dict_learning.py  [78 edits, last: 2014-07-28]
sklearn/utils/__init__.py  [78 edits, last: 2014-12-29]
sklearn/utils/validation.py  [77 edits, last: 2014-12-31]
sklearn/lda.py  [76 edits, last: 2014-12-29]
sklearn/linear_model/ransac.py  [75 edits, last: 2014-07-20]
