sklearn/utils/estimator_checks.py  [299 edits, last: 2021-04-26]
sklearn/feature_extraction/text.py  [281 edits, last: 2021-05-14]
sklearn/metrics/pairwise.py  [272 edits, last: 2021-05-14]
sklearn/utils/validation.py  [215 edits, last: 2021-05-14]
sklearn/naive_bayes.py  [184 edits, last: 2021-05-14]
sklearn/utils/extmath.py  [172 edits, last: 2021-05-14]
sklearn/utils/__init__.py  [165 edits, last: 2021-05-14]
sklearn/base.py  [159 edits, last: 2021-05-14]
sklearn/multiclass.py  [153 edits, last: 2021-05-14]
sklearn/pipeline.py  [151 edits, last: 2021-05-14]
sklearn/model_selection/_search.py  [147 edits, last: 2021-05-14]
sklearn/dummy.py  [126 edits, last: 2021-05-14]
sklearn/model_selection/_split.py  [124 edits, last: 2021-05-14]
sklearn/model_selection/_validation.py  [123 edits, last: 2021-05-14]
sklearn/utils/fixes.py  [123 edits, last: 2021-05-11]
sklearn/random_projection.py  [107 edits, last: 2021-05-14]
sklearn/kernel_approximation.py  [98 edits, last: 2021-05-14]
sklearn/gaussian_process/kernels.py  [93 edits, last: 2021-03-14]
sklearn/metrics/__init__.py  [92 edits, last: 2021-02-18]
sklearn/__init__.py  [87 edits, last: 2020-12-15]
sklearn/isotonic.py  [87 edits, last: 2021-05-14]
sklearn/utils/multiclass.py  [82 edits, last: 2020-10-29]
sklearn/compose/_column_transformer.py  [79 edits, last: 2021-05-14]
sklearn/calibration.py  [78 edits, last: 2021-05-14]
sklearn/preprocessing/_encoders.py  [73 edits, last: 2021-05-14]
sklearn/multioutput.py  [70 edits, last: 2021-05-14]
sklearn/discriminant_analysis.py  [63 edits, last: 2021-05-14]
sklearn/preprocessing/__init__.py  [62 edits, last: 2021-03-18]
sklearn/feature_extraction/image.py  [58 edits, last: 2021-05-14]
sklearn/ensemble/_hist_gradient_boosting/gradient_boosting.py  [57 edits, last: 2021-05-14]
sklearn/setup.py  [50 edits, last: 2021-04-19]
sklearn/linear_model/__init__.py  [50 edits, last: 2021-03-23]
sklearn/utils/setup.py  [49 edits, last: 2019-10-25]
sklearn/utils/sparsefuncs.py  [49 edits, last: 2021-05-14]
sklearn/kernel_ridge.py  [43 edits, last: 2021-05-14]
sklearn/preprocessing/_data.py  [43 edits, last: 2021-05-14]
sklearn/datasets/__init__.py  [42 edits, last: 2019-12-20]
sklearn/cluster/_kmeans.py  [39 edits, last: 2021-05-14]
sklearn/metrics/_classification.py  [38 edits, last: 2021-05-14]
sklearn/impute/_base.py  [37 edits, last: 2021-05-14]
sklearn/tree/_classes.py  [37 edits, last: 2021-05-14]
sklearn/ensemble/__init__.py  [36 edits, last: 2021-04-02]
