sklearn/feature_extraction/text.py  [272 edits, last: 2020-06-01]
sklearn/utils/estimator_checks.py  [268 edits, last: 2020-07-06]
sklearn/metrics/pairwise.py  [262 edits, last: 2020-06-25]
sklearn/utils/validation.py  [200 edits, last: 2020-07-05]
sklearn/naive_bayes.py  [175 edits, last: 2020-07-05]
sklearn/utils/extmath.py  [160 edits, last: 2020-06-06]
sklearn/utils/__init__.py  [157 edits, last: 2020-06-24]
sklearn/base.py  [147 edits, last: 2020-05-27]
sklearn/multiclass.py  [142 edits, last: 2020-06-24]
sklearn/pipeline.py  [138 edits, last: 2020-06-07]
sklearn/model_selection/_search.py  [128 edits, last: 2020-06-26]
sklearn/dummy.py  [121 edits, last: 2020-05-20]
sklearn/utils/fixes.py  [116 edits, last: 2020-06-24]
sklearn/model_selection/_split.py  [114 edits, last: 2020-06-24]
sklearn/random_projection.py  [103 edits, last: 2020-06-24]
sklearn/model_selection/_validation.py  [100 edits, last: 2020-07-02]
sklearn/kernel_approximation.py  [91 edits, last: 2020-06-18]
sklearn/gaussian_process/kernels.py  [88 edits, last: 2020-06-23]
sklearn/metrics/__init__.py  [87 edits, last: 2020-07-04]
sklearn/__init__.py  [85 edits, last: 2020-05-05]
sklearn/isotonic.py  [83 edits, last: 2020-07-06]
sklearn/utils/multiclass.py  [79 edits, last: 2020-04-27]
sklearn/calibration.py  [64 edits, last: 2020-07-05]
sklearn/compose/_column_transformer.py  [64 edits, last: 2020-06-26]
sklearn/multioutput.py  [60 edits, last: 2020-07-05]
sklearn/preprocessing/__init__.py  [60 edits, last: 2019-10-22]
sklearn/discriminant_analysis.py  [58 edits, last: 2020-07-05]
sklearn/feature_extraction/image.py  [56 edits, last: 2020-06-24]
sklearn/preprocessing/_encoders.py  [55 edits, last: 2020-06-26]
sklearn/setup.py  [49 edits, last: 2020-05-25]
sklearn/linear_model/__init__.py  [49 edits, last: 2020-03-04]
sklearn/utils/setup.py  [49 edits, last: 2019-10-25]
sklearn/utils/sparsefuncs.py  [43 edits, last: 2020-05-19]
sklearn/datasets/__init__.py  [42 edits, last: 2019-12-20]
sklearn/ensemble/_hist_gradient_boosting/gradient_boosting.py  [41 edits, last: 2020-06-25]
sklearn/kernel_ridge.py  [36 edits, last: 2020-06-16]
sklearn/ensemble/__init__.py  [35 edits, last: 2020-03-30]
sklearn/decomposition/__init__.py  [33 edits, last: 2020-05-25]
sklearn/utils/random.py  [31 edits, last: 2020-06-15]
sklearn/cluster/__init__.py  [30 edits, last: 2019-12-18]
sklearn/utils/class_weight.py  [30 edits, last: 2020-05-19]
sklearn/feature_selection/__init__.py  [29 edits, last: 2020-01-17]
sklearn/tree/_classes.py  [28 edits, last: 2020-07-04]
sklearn/cluster/setup.py  [27 edits, last: 2020-02-20]
sklearn/svm/_classes.py  [27 edits, last: 2020-07-05]
sklearn/utils/graph.py  [27 edits, last: 2020-05-19]
sklearn/covariance/__init__.py  [26 edits, last: 2019-10-30]
sklearn/ensemble/_forest.py  [26 edits, last: 2020-06-24]
sklearn/impute/_base.py  [26 edits, last: 2020-06-26]
sklearn/cluster/_feature_agglomeration.py  [25 edits, last: 2020-06-07]
sklearn/exceptions.py  [24 edits, last: 2020-07-05]
sklearn/impute/_iterative.py  [24 edits, last: 2020-06-16]
sklearn/preprocessing/_discretization.py  [24 edits, last: 2020-06-24]
sklearn/preprocessing/_function_transformer.py  [24 edits, last: 2020-06-06]
sklearn/metrics/cluster/__init__.py  [23 edits, last: 2019-12-05]
sklearn/neighbors/__init__.py  [23 edits, last: 2019-10-23]
sklearn/preprocessing/_data.py  [23 edits, last: 2020-06-16]
sklearn/utils/deprecation.py  [23 edits, last: 2020-05-25]
sklearn/utils/metaestimators.py  [23 edits, last: 2020-03-30]
sklearn/utils/optimize.py  [23 edits, last: 2020-05-20]
sklearn/ensemble/_gb.py  [22 edits, last: 2020-06-26]
sklearn/linear_model/_ridge.py  [22 edits, last: 2020-06-16]
sklearn/linear_model/setup.py  [21 edits, last: 2020-03-04]
sklearn/linear_model/_coordinate_descent.py  [20 edits, last: 2020-07-06]
sklearn/metrics/_classification.py  [20 edits, last: 2020-06-24]
sklearn/compose/_target.py  [19 edits, last: 2020-04-26]
sklearn/gaussian_process/__init__.py  [19 edits, last: 2019-10-28]
sklearn/linear_model/_stochastic_gradient.py  [19 edits, last: 2020-06-16]
sklearn/svm/setup.py  [19 edits, last: 2020-06-30]
sklearn/cluster/_kmeans.py  [18 edits, last: 2020-06-15]
sklearn/ensemble/_stacking.py  [18 edits, last: 2020-06-06]
sklearn/ensemble/_voting.py  [18 edits, last: 2020-05-20]
sklearn/inspection/_partial_dependence.py  [18 edits, last: 2020-06-26]
sklearn/linear_model/_logistic.py  [18 edits, last: 2020-07-05]
sklearn/feature_selection/_rfe.py  [17 edits, last: 2020-06-26]
sklearn/impute/_knn.py  [17 edits, last: 2020-06-24]
sklearn/metrics/_plot/roc_curve.py  [17 edits, last: 2020-07-06]
sklearn/neural_network/_multilayer_perceptron.py  [17 edits, last: 2020-07-06]
sklearn/ensemble/_base.py  [16 edits, last: 2020-06-24]
sklearn/ensemble/_iforest.py  [16 edits, last: 2020-06-23]
sklearn/manifold/__init__.py  [16 edits, last: 2019-10-30]
sklearn/metrics/_plot/confusion_matrix.py  [16 edits, last: 2020-06-26]
sklearn/neighbors/_kde.py  [16 edits, last: 2020-06-24]
sklearn/tree/__init__.py  [16 edits, last: 2019-10-16]
sklearn/utils/stats.py  [16 edits, last: 2020-05-27]
sklearn/decomposition/_dict_learning.py  [15 edits, last: 2020-06-25]
sklearn/linear_model/_base.py  [15 edits, last: 2020-06-24]
sklearn/metrics/_ranking.py  [15 edits, last: 2020-06-24]
sklearn/tree/setup.py  [15 edits, last: 2019-11-26]
sklearn/datasets/_base.py  [14 edits, last: 2020-06-25]
sklearn/ensemble/_bagging.py  [14 edits, last: 2020-06-24]
sklearn/ensemble/_weight_boosting.py  [14 edits, last: 2020-06-06]
sklearn/feature_extraction/__init__.py  [14 edits, last: 2019-12-18]
sklearn/datasets/_samples_generator.py  [13 edits, last: 2020-06-24]
sklearn/linear_model/_ransac.py  [13 edits, last: 2020-06-06]
sklearn/metrics/setup.py  [13 edits, last: 2019-10-23]
sklearn/metrics/_plot/precision_recall_curve.py  [13 edits, last: 2020-07-06]
sklearn/svm/_base.py  [13 edits, last: 2020-05-19]
sklearn/_config.py  [12 edits, last: 2020-05-28]
sklearn/cluster/_agglomerative.py  [12 edits, last: 2020-06-24]
sklearn/cluster/_dbscan.py  [12 edits, last: 2020-06-09]
sklearn/manifold/_t_sne.py  [12 edits, last: 2020-06-24]
sklearn/mixture/__init__.py  [12 edits, last: 2019-10-16]
sklearn/svm/__init__.py  [12 edits, last: 2019-10-18]
sklearn/utils/_testing.py  [12 edits, last: 2020-05-20]
sklearn/cluster/_birch.py  [11 edits, last: 2020-05-10]
sklearn/cluster/_optics.py  [11 edits, last: 2020-06-24]
sklearn/decomposition/_pca.py  [11 edits, last: 2020-05-20]
sklearn/decomposition/_sparse_pca.py  [11 edits, last: 2020-06-03]
sklearn/linear_model/_least_angle.py  [11 edits, last: 2020-06-24]
sklearn/manifold/setup.py  [11 edits, last: 2019-03-27]
sklearn/metrics/_regression.py  [11 edits, last: 2020-07-04]
sklearn/neighbors/_base.py  [11 edits, last: 2020-06-24]
sklearn/cluster/_spectral.py  [10 edits, last: 2020-06-18]
sklearn/datasets/_openml.py  [10 edits, last: 2020-06-25]
