scrapy/core/engine.py  [132 edits, last: 2014-06-02]
scrapy/settings/default_settings.py  [73 edits, last: 2014-06-25]
scrapy/core/scraper.py  [68 edits, last: 2014-05-02]
scrapy/__init__.py  [58 edits, last: 2014-07-02]
scrapy/contrib/pipeline/images.py  [53 edits, last: 2014-07-14]
scrapy/shell.py  [52 edits, last: 2014-07-14]
scrapy/tests/test_http_request.py  [51 edits, last: 2014-07-14]
scrapy/contrib/downloadermiddleware/httpcache.py  [39 edits, last: 2013-01-21]
scrapy/http/request/form.py  [39 edits, last: 2014-07-14]
scrapy/log.py  [37 edits, last: 2014-07-02]
scrapy/crawler.py  [35 edits, last: 2014-07-02]
scrapy/utils/url.py  [35 edits, last: 2014-07-14]
scrapy/cmdline.py  [34 edits, last: 2014-07-14]
scrapy/tests/test_commands.py  [34 edits, last: 2014-07-14]
scrapy/contrib/pipeline/media.py  [32 edits, last: 2013-10-20]
scrapy/core/downloader/handlers/http11.py  [32 edits, last: 2014-07-14]
scrapy/tests/test_engine.py  [32 edits, last: 2014-07-14]
scrapy/tests/test_downloader_handlers.py  [30 edits, last: 2014-03-13]
scrapy/contrib/memusage.py  [29 edits, last: 2014-03-06]
scrapy/tests/test_selector.py  [29 edits, last: 2014-07-03]
scrapy/contrib/linkextractors/sgml.py  [28 edits, last: 2014-07-14]
scrapy/core/scheduler.py  [28 edits, last: 2013-10-20]
scrapy/core/downloader/__init__.py  [28 edits, last: 2013-05-06]
scrapy/utils/engine.py  [28 edits, last: 2014-02-14]
scrapy/contrib/exporter/__init__.py  [27 edits, last: 2014-07-14]
scrapy/http/request/__init__.py  [27 edits, last: 2013-08-23]
scrapy/tests/test_utils_url.py  [27 edits, last: 2014-04-16]
scrapy/commands/crawl.py  [26 edits, last: 2014-06-10]
scrapy/http/response/text.py  [26 edits, last: 2014-04-23]
scrapy/tests/test_http_response.py  [26 edits, last: 2014-04-23]
scrapy/contrib/downloadermiddleware/redirect.py  [25 edits, last: 2014-07-14]
scrapy/core/downloader/webclient.py  [25 edits, last: 2014-07-14]
scrapy/tests/test_downloadermiddleware_httpcache.py  [25 edits, last: 2014-06-04]
scrapy/utils/response.py  [25 edits, last: 2013-11-19]
scrapy/utils/misc.py  [24 edits, last: 2013-11-07]
scrapy/utils/python.py  [24 edits, last: 2014-07-14]
scrapy/command.py  [23 edits, last: 2014-06-10]
scrapy/contrib/loader/__init__.py  [23 edits, last: 2014-07-14]
scrapy/tests/test_contrib_loader.py  [23 edits, last: 2014-01-23]
scrapy/commands/parse.py  [22 edits, last: 2013-10-20]
scrapy/contrib/downloadermiddleware/robotstxt.py  [22 edits, last: 2014-07-14]
scrapy/contrib/spidermiddleware/offsite.py  [22 edits, last: 2014-06-12]
scrapy/tests/test_contrib_exporter.py  [22 edits, last: 2014-07-14]
scrapy/tests/test_contrib_linkextractors.py  [22 edits, last: 2014-07-10]
scrapy/tests/test_crawl.py  [22 edits, last: 2014-04-26]
scrapy/tests/test_utils_response.py  [22 edits, last: 2014-07-14]
scrapy/commands/deploy.py  [21 edits, last: 2014-07-14]
scrapy/commands/runspider.py  [21 edits, last: 2014-06-10]
scrapy/contrib/throttle.py  [21 edits, last: 2012-12-17]
scrapy/contrib/httpcache.py  [20 edits, last: 2014-07-14]
scrapy/selector/lxmlsel.py  [20 edits, last: 2014-04-15]
scrapy/contrib/memdebug.py  [19 edits, last: 2014-07-14]
scrapy/http/response/__init__.py  [19 edits, last: 2013-08-23]
scrapy/tests/test_spider.py  [19 edits, last: 2014-06-25]
scrapy/utils/deprecate.py  [19 edits, last: 2014-02-05]
scrapy/contrib/closespider.py  [18 edits, last: 2013-05-31]
scrapy/tests/test_downloadermiddleware_redirect.py  [18 edits, last: 2013-12-30]
scrapy/tests/test_pipeline_images.py  [18 edits, last: 2013-12-18]
scrapy/utils/test.py  [18 edits, last: 2014-06-10]
scrapy/telnet.py  [17 edits, last: 2013-11-19]
scrapy/commands/check.py  [17 edits, last: 2014-07-14]
scrapy/contrib/spidermiddleware/depth.py  [17 edits, last: 2012-10-06]
scrapy/tests/mockserver.py  [17 edits, last: 2013-12-24]
scrapy/tests/test_utils_deprecate.py  [17 edits, last: 2014-02-07]
scrapy/tests/test_utils_iterators.py  [17 edits, last: 2013-11-19]
scrapy/commands/genspider.py  [16 edits, last: 2014-02-01]
scrapy/contrib/feedexport.py  [16 edits, last: 2014-07-14]
scrapy/contrib/downloadermiddleware/retry.py  [16 edits, last: 2013-08-21]
scrapy/contrib/spiders/crawl.py  [16 edits, last: 2014-01-31]
scrapy/tests/test_djangoitem/__init__.py  [16 edits, last: 2014-01-31]
scrapy/item.py  [15 edits, last: 2014-07-14]
scrapy/commands/shell.py  [15 edits, last: 2013-08-23]
scrapy/contrib/spiders/feed.py  [15 edits, last: 2013-12-30]
scrapy/settings/__init__.py  [15 edits, last: 2014-07-08]
