scrapy/settings/default_settings.py  [187 edits, last: 2022-11-29]
scrapy/core/engine.py  [170 edits, last: 2023-01-25]
scrapy/core/downloader/handlers/http11.py  [141 edits, last: 2023-01-25]
scrapy/crawler.py  [131 edits, last: 2023-01-25]
scrapy/core/scraper.py  [114 edits, last: 2023-01-25]
scrapy/http/request/form.py  [101 edits, last: 2023-01-25]
scrapy/extensions/feedexport.py  [92 edits, last: 2023-01-25]
scrapy/shell.py  [83 edits, last: 2023-01-25]
scrapy/__init__.py  [78 edits, last: 2023-01-27]
scrapy/utils/python.py  [78 edits, last: 2022-11-29]
scrapy/utils/url.py  [75 edits, last: 2023-01-25]
scrapy/http/response/text.py  [73 edits, last: 2023-01-25]
scrapy/utils/misc.py  [71 edits, last: 2023-01-25]
scrapy/pipelines/files.py  [69 edits, last: 2023-01-30]
scrapy/http/request/__init__.py  [64 edits, last: 2023-01-30]
scrapy/cmdline.py  [63 edits, last: 2023-01-25]
scrapy/settings/__init__.py  [60 edits, last: 2023-01-25]
scrapy/pipelines/images.py  [58 edits, last: 2023-01-30]
scrapy/core/spidermw.py  [57 edits, last: 2023-01-25]
scrapy/core/downloader/webclient.py  [57 edits, last: 2023-01-25]
scrapy/exporters.py  [56 edits, last: 2023-01-25]
scrapy/commands/parse.py  [56 edits, last: 2023-01-25]
scrapy/utils/defer.py  [56 edits, last: 2023-01-25]
scrapy/core/scheduler.py  [53 edits, last: 2023-01-25]
scrapy/http/response/__init__.py  [52 edits, last: 2022-11-29]
scrapy/core/http2/stream.py  [51 edits, last: 2023-01-25]
scrapy/utils/test.py  [51 edits, last: 2023-01-25]
scrapy/core/downloader/__init__.py  [50 edits, last: 2023-01-25]
scrapy/utils/response.py  [49 edits, last: 2023-01-25]
scrapy/utils/iterators.py  [47 edits, last: 2023-01-25]
scrapy/utils/log.py  [46 edits, last: 2023-01-25]
scrapy/commands/shell.py  [45 edits, last: 2023-01-25]
scrapy/commands/crawl.py  [44 edits, last: 2022-11-29]
scrapy/commands/runspider.py  [44 edits, last: 2023-01-25]
scrapy/commands/startproject.py  [44 edits, last: 2023-01-25]
scrapy/core/http2/protocol.py  [43 edits, last: 2023-01-25]
scrapy/spidermiddlewares/referer.py  [43 edits, last: 2023-01-25]
scrapy/item.py  [42 edits, last: 2022-11-29]
scrapy/utils/conf.py  [42 edits, last: 2023-01-25]
scrapy/selector/unified.py  [41 edits, last: 2023-01-25]
scrapy/mail.py  [40 edits, last: 2023-01-25]
scrapy/extensions/httpcache.py  [39 edits, last: 2023-01-25]
scrapy/core/downloader/handlers/s3.py  [38 edits, last: 2022-11-29]
scrapy/commands/genspider.py  [37 edits, last: 2023-01-25]
scrapy/linkextractors/lxmlhtml.py  [37 edits, last: 2023-01-20]
scrapy/utils/request.py  [36 edits, last: 2023-01-25]
scrapy/utils/deprecate.py  [35 edits, last: 2023-01-25]
scrapy/utils/gz.py  [35 edits, last: 2022-11-29]
scrapy/commands/check.py  [34 edits, last: 2023-01-25]
scrapy/core/downloader/middleware.py  [34 edits, last: 2023-01-25]
scrapy/utils/datatypes.py  [34 edits, last: 2022-11-29]
scrapy/commands/fetch.py  [33 edits, last: 2023-01-25]
scrapy/core/downloader/contextfactory.py  [33 edits, last: 2023-01-25]
scrapy/core/downloader/tls.py  [33 edits, last: 2023-01-25]
scrapy/linkextractors/__init__.py  [33 edits, last: 2022-11-29]
scrapy/utils/engine.py  [33 edits, last: 2021-04-20]
scrapy/logformatter.py  [32 edits, last: 2023-01-25]
scrapy/responsetypes.py  [32 edits, last: 2023-01-25]
scrapy/downloadermiddlewares/retry.py  [32 edits, last: 2023-01-25]
scrapy/commands/__init__.py  [30 edits, last: 2023-01-25]
scrapy/pipelines/media.py  [29 edits, last: 2023-01-30]
scrapy/spiders/crawl.py  [29 edits, last: 2023-01-25]
scrapy/core/downloader/handlers/__init__.py  [28 edits, last: 2023-01-25]
scrapy/utils/project.py  [28 edits, last: 2023-01-25]
scrapy/middleware.py  [27 edits, last: 2023-01-25]
scrapy/resolver.py  [27 edits, last: 2023-01-25]
scrapy/http/cookies.py  [27 edits, last: 2023-01-25]
scrapy/utils/spider.py  [27 edits, last: 2023-01-25]
scrapy/contracts/__init__.py  [26 edits, last: 2022-11-29]
scrapy/downloadermiddlewares/redirect.py  [26 edits, last: 2023-01-25]
scrapy/loader/__init__.py  [26 edits, last: 2021-10-10]
scrapy/utils/reactor.py  [25 edits, last: 2023-01-20]
scrapy/utils/reqser.py  [25 edits, last: 2023-01-25]
scrapy/core/downloader/handlers/ftp.py  [23 edits, last: 2022-11-29]
scrapy/downloadermiddlewares/httpcompression.py  [23 edits, last: 2022-11-29]
scrapy/downloadermiddlewares/robotstxt.py  [23 edits, last: 2023-01-26]
scrapy/spiders/__init__.py  [23 edits, last: 2023-01-25]
scrapy/commands/version.py  [22 edits, last: 2022-11-29]
scrapy/link.py  [21 edits, last: 2022-11-29]
scrapy/core/downloader/handlers/http.py  [21 edits, last: 2019-12-05]
scrapy/spidermiddlewares/offsite.py  [21 edits, last: 2023-01-25]
