scrapy/settings/default_settings.py  [179 edits, last: 2020-08-26]
scrapy/core/engine.py  [160 edits, last: 2021-04-26]
scrapy/core/downloader/handlers/http11.py  [135 edits, last: 2021-06-14]
scrapy/crawler.py  [118 edits, last: 2020-10-01]
scrapy/core/scraper.py  [105 edits, last: 2021-04-20]
scrapy/http/request/form.py  [96 edits, last: 2021-06-01]
scrapy/extensions/feedexport.py  [79 edits, last: 2020-11-11]
scrapy/shell.py  [76 edits, last: 2021-04-20]
scrapy/__init__.py  [73 edits, last: 2020-12-02]
scrapy/utils/python.py  [71 edits, last: 2021-04-03]
scrapy/utils/url.py  [68 edits, last: 2020-08-26]
scrapy/http/response/text.py  [67 edits, last: 2020-08-26]
scrapy/utils/misc.py  [62 edits, last: 2021-03-22]
scrapy/pipelines/files.py  [60 edits, last: 2020-09-20]
scrapy/cmdline.py  [55 edits, last: 2020-08-26]
scrapy/http/request/__init__.py  [51 edits, last: 2021-06-07]
scrapy/core/downloader/webclient.py  [50 edits, last: 2020-11-11]
scrapy/settings/__init__.py  [50 edits, last: 2020-08-26]
scrapy/exporters.py  [49 edits, last: 2020-08-26]
scrapy/core/scheduler.py  [49 edits, last: 2021-04-26]
scrapy/core/downloader/__init__.py  [48 edits, last: 2020-08-28]
scrapy/commands/parse.py  [47 edits, last: 2020-12-02]
scrapy/http/response/__init__.py  [47 edits, last: 2020-11-11]
scrapy/utils/test.py  [45 edits, last: 2020-09-21]
scrapy/utils/iterators.py  [44 edits, last: 2020-10-06]
scrapy/commands/crawl.py  [43 edits, last: 2021-03-22]
scrapy/core/spidermw.py  [43 edits, last: 2021-04-13]
scrapy/core/http2/stream.py  [43 edits, last: 2021-03-09]
scrapy/utils/defer.py  [42 edits, last: 2021-04-13]
scrapy/utils/response.py  [42 edits, last: 2020-12-02]
scrapy/commands/shell.py  [41 edits, last: 2020-05-06]
scrapy/core/http2/protocol.py  [40 edits, last: 2021-02-23]
scrapy/utils/log.py  [40 edits, last: 2020-08-26]
scrapy/item.py  [39 edits, last: 2020-12-02]
scrapy/selector/unified.py  [39 edits, last: 2021-03-22]
scrapy/commands/runspider.py  [38 edits, last: 2020-10-01]
scrapy/commands/startproject.py  [38 edits, last: 2020-08-26]
scrapy/mail.py  [37 edits, last: 2020-12-02]
scrapy/spidermiddlewares/referer.py  [36 edits, last: 2020-12-02]
scrapy/core/downloader/handlers/s3.py  [35 edits, last: 2020-09-20]
scrapy/utils/engine.py  [33 edits, last: 2021-04-20]
scrapy/utils/gz.py  [33 edits, last: 2020-11-23]
scrapy/pipelines/images.py  [32 edits, last: 2021-03-19]
scrapy/utils/datatypes.py  [32 edits, last: 2020-08-04]
scrapy/commands/check.py  [31 edits, last: 2020-08-29]
scrapy/core/downloader/middleware.py  [31 edits, last: 2021-04-03]
scrapy/linkextractors/__init__.py  [31 edits, last: 2020-08-04]
scrapy/utils/conf.py  [31 edits, last: 2020-08-30]
scrapy/utils/deprecate.py  [31 edits, last: 2020-08-26]
scrapy/logformatter.py  [30 edits, last: 2020-08-26]
scrapy/commands/fetch.py  [30 edits, last: 2020-07-09]
scrapy/utils/request.py  [30 edits, last: 2021-05-10]
scrapy/commands/genspider.py  [29 edits, last: 2020-11-08]
scrapy/extensions/httpcache.py  [29 edits, last: 2020-08-26]
scrapy/responsetypes.py  [28 edits, last: 2020-08-26]
scrapy/downloadermiddlewares/retry.py  [28 edits, last: 2021-05-01]
scrapy/linkextractors/lxmlhtml.py  [28 edits, last: 2020-08-04]
scrapy/core/downloader/contextfactory.py  [27 edits, last: 2020-08-19]
scrapy/core/downloader/tls.py  [26 edits, last: 2020-10-01]
scrapy/core/downloader/handlers/__init__.py  [26 edits, last: 2020-08-26]
scrapy/resolver.py  [25 edits, last: 2020-10-09]
scrapy/contracts/__init__.py  [25 edits, last: 2020-12-02]
scrapy/loader/__init__.py  [25 edits, last: 2020-07-15]
scrapy/http/cookies.py  [24 edits, last: 2020-12-02]
scrapy/utils/project.py  [24 edits, last: 2020-12-01]
scrapy/pipelines/media.py  [23 edits, last: 2021-04-20]
scrapy/spiders/crawl.py  [23 edits, last: 2020-09-29]
scrapy/utils/reqser.py  [23 edits, last: 2021-05-10]
scrapy/utils/spider.py  [23 edits, last: 2020-11-23]
scrapy/middleware.py  [21 edits, last: 2021-04-13]
scrapy/core/downloader/handlers/ftp.py  [21 edits, last: 2020-05-06]
scrapy/core/downloader/handlers/http.py  [21 edits, last: 2019-12-05]
scrapy/downloadermiddlewares/httpcompression.py  [21 edits, last: 2020-11-06]
scrapy/downloadermiddlewares/redirect.py  [21 edits, last: 2020-08-04]
scrapy/link.py  [20 edits, last: 2020-10-01]
scrapy/commands/__init__.py  [20 edits, last: 2020-12-02]
scrapy/commands/version.py  [20 edits, last: 2020-08-26]
scrapy/spiderloader.py  [19 edits, last: 2020-08-26]
scrapy/pqueues.py  [18 edits, last: 2021-04-26]
scrapy/commands/list.py  [18 edits, last: 2019-11-18]
scrapy/downloadermiddlewares/robotstxt.py  [18 edits, last: 2021-04-20]
scrapy/signals.py  [17 edits, last: 2021-03-11]
scrapy/selector/__init__.py  [17 edits, last: 2020-05-15]
scrapy/spiders/__init__.py  [17 edits, last: 2020-08-26]
scrapy/utils/console.py  [17 edits, last: 2020-05-13]
scrapy/utils/signal.py  [17 edits, last: 2020-05-20]
scrapy/utils/trackref.py  [17 edits, last: 2020-12-02]
scrapy/commands/settings.py  [16 edits, last: 2020-05-06]
scrapy/downloadermiddlewares/httpproxy.py  [16 edits, last: 2020-09-05]
scrapy/utils/reactor.py  [16 edits, last: 2020-11-05]
scrapy/utils/serialize.py  [16 edits, last: 2020-08-26]
scrapy/exceptions.py  [15 edits, last: 2020-08-04]
scrapy/contracts/default.py  [15 edits, last: 2020-08-26]
scrapy/spiders/sitemap.py  [15 edits, last: 2020-08-04]
scrapy/extensions/telnet.py  [14 edits, last: 2020-05-06]
scrapy/http/headers.py  [14 edits, last: 2020-08-26]
scrapy/spidermiddlewares/offsite.py  [14 edits, last: 2020-08-26]
scrapy/utils/testsite.py  [14 edits, last: 2020-08-26]
scrapy/squeues.py  [13 edits, last: 2021-05-10]
scrapy/core/downloader/handlers/file.py  [13 edits, last: 2019-12-23]
scrapy/http/request/json_request.py  [13 edits, last: 2021-06-07]
scrapy/utils/sitemap.py  [13 edits, last: 2020-03-16]
scrapy/core/downloader/handlers/http2.py  [12 edits, last: 2021-06-11]
scrapy/signalmanager.py  [11 edits, last: 2020-03-16]
scrapy/commands/bench.py  [11 edits, last: 2021-04-01]
scrapy/core/http2/agent.py  [11 edits, last: 2021-03-15]
scrapy/downloadermiddlewares/cookies.py  [11 edits, last: 2020-10-01]
scrapy/http/response/html.py  [11 edits, last: 2019-11-20]
scrapy/loader/processors.py  [11 edits, last: 2020-07-15]
scrapy/utils/ftp.py  [11 edits, last: 2020-08-26]
scrapy/core/downloader/handlers/http10.py  [10 edits, last: 2020-03-14]
scrapy/downloadermiddlewares/httpcache.py  [10 edits, last: 2020-08-17]
scrapy/http/request/rpc.py  [10 edits, last: 2021-06-01]
scrapy/http/response/xml.py  [10 edits, last: 2019-11-20]
scrapy/utils/curl.py  [10 edits, last: 2021-05-01]
scrapy/utils/display.py  [10 edits, last: 2020-07-20]
scrapy/dupefilters.py  [9 edits, last: 2021-04-20]
scrapy/interfaces.py  [9 edits, last: 2019-11-18]
scrapy/robotstxt.py  [9 edits, last: 2020-03-22]
scrapy/commands/view.py  [9 edits, last: 2020-08-04]
scrapy/downloadermiddlewares/ajaxcrawl.py  [9 edits, last: 2020-05-08]
scrapy/extensions/memusage.py  [9 edits, last: 2021-04-20]
scrapy/spiders/feed.py  [9 edits, last: 2020-08-26]
scrapy/utils/template.py  [9 edits, last: 2020-08-12]
scrapy/utils/testproc.py  [9 edits, last: 2020-08-26]
scrapy/extension.py  [8 edits, last: 2019-11-18]
scrapy/commands/edit.py  [8 edits, last: 2020-08-26]
scrapy/utils/ssl.py  [8 edits, last: 2020-08-26]
scrapy/extensions/throttle.py  [7 edits, last: 2020-03-16]
scrapy/spidermiddlewares/httperror.py  [7 edits, last: 2020-08-26]
scrapy/utils/benchserver.py  [7 edits, last: 2020-08-26]
scrapy/utils/boto.py  [7 edits, last: 2020-09-20]
scrapy/extensions/closespider.py  [6 edits, last: 2020-05-06]
scrapy/extensions/spiderstate.py  [6 edits, last: 2020-05-06]
scrapy/pipelines/__init__.py  [6 edits, last: 2020-01-09]
scrapy/statscollectors.py  [5 edits, last: 2020-08-04]
scrapy/core/downloader/handlers/datauri.py  [5 edits, last: 2019-12-23]
scrapy/downloadermiddlewares/decompression.py  [5 edits, last: 2020-03-16]
scrapy/extensions/corestats.py  [5 edits, last: 2020-08-26]
scrapy/spidermiddlewares/depth.py  [5 edits, last: 2020-08-26]
scrapy/spiders/init.py  [5 edits, last: 2020-08-04]
scrapy/utils/httpobj.py  [5 edits, last: 2020-12-02]
scrapy/utils/ossignal.py  [5 edits, last: 2020-07-09]
scrapy/utils/versions.py  [5 edits, last: 2019-11-18]
scrapy/downloadermiddlewares/defaultheaders.py  [4 edits, last: 2020-03-16]
scrapy/downloadermiddlewares/stats.py  [4 edits, last: 2020-08-26]
scrapy/extensions/memdebug.py  [4 edits, last: 2020-08-26]
