scrapy/core/engine.py  [141 edits, last: 2015-05-15]
scrapy/settings/default_settings.py  [97 edits, last: 2015-06-27]
scrapy/core/scraper.py  [76 edits, last: 2015-08-26]
scrapy/crawler.py  [75 edits, last: 2015-09-08]
scrapy/__init__.py  [64 edits, last: 2015-08-01]
scrapy/shell.py  [58 edits, last: 2015-09-08]
scrapy/contrib/pipeline/images.py  [58 edits, last: 2015-04-29]
scrapy/http/request/form.py  [50 edits, last: 2015-09-01]
scrapy/log.py  [44 edits, last: 2015-05-21]
scrapy/contrib/downloadermiddleware/httpcache.py  [41 edits, last: 2015-04-29]
scrapy/core/downloader/handlers/http11.py  [40 edits, last: 2015-04-22]
scrapy/utils/url.py  [40 edits, last: 2015-07-25]
scrapy/cmdline.py  [36 edits, last: 2015-08-08]
scrapy/contrib/pipeline/media.py  [36 edits, last: 2015-04-29]
scrapy/contrib/memusage.py  [32 edits, last: 2015-04-29]
scrapy/contrib/linkextractors/sgml.py  [32 edits, last: 2015-04-29]
scrapy/core/scheduler.py  [32 edits, last: 2015-05-15]
scrapy/core/downloader/__init__.py  [32 edits, last: 2015-08-10]
scrapy/utils/misc.py  [32 edits, last: 2015-08-27]
scrapy/utils/python.py  [32 edits, last: 2015-09-04]
scrapy/contrib/exporter/__init__.py  [30 edits, last: 2015-05-05]
scrapy/http/request/__init__.py  [30 edits, last: 2015-07-25]
scrapy/selector/unified.py  [30 edits, last: 2015-08-11]
scrapy/contrib/downloadermiddleware/redirect.py  [29 edits, last: 2015-04-29]
scrapy/utils/response.py  [29 edits, last: 2015-09-04]
scrapy/commands/crawl.py  [28 edits, last: 2015-05-09]
scrapy/commands/parse.py  [28 edits, last: 2015-05-09]
scrapy/contrib/downloadermiddleware/robotstxt.py  [28 edits, last: 2015-04-29]
scrapy/http/response/text.py  [28 edits, last: 2015-07-25]
scrapy/utils/engine.py  [28 edits, last: 2014-02-14]
scrapy/core/downloader/webclient.py  [27 edits, last: 2015-03-22]
scrapy/command.py  [25 edits, last: 2015-05-09]
scrapy/contrib/loader/__init__.py  [25 edits, last: 2015-04-29]
scrapy/contrib/spidermiddleware/offsite.py  [25 edits, last: 2015-04-29]
scrapy/contrib/throttle.py  [24 edits, last: 2015-04-29]
scrapy/commands/runspider.py  [23 edits, last: 2015-05-09]
scrapy/commands/shell.py  [23 edits, last: 2015-05-09]
scrapy/utils/iterators.py  [23 edits, last: 2015-07-23]
scrapy/contrib/feedexport.py  [22 edits, last: 2015-04-29]
scrapy/contrib/httpcache.py  [22 edits, last: 2015-04-29]
scrapy/http/response/__init__.py  [22 edits, last: 2015-07-25]
scrapy/telnet.py  [21 edits, last: 2015-04-22]
scrapy/commands/check.py  [21 edits, last: 2015-09-08]
scrapy/contrib/downloadermiddleware/retry.py  [21 edits, last: 2015-04-29]
scrapy/contrib/pipeline/files.py  [21 edits, last: 2015-04-29]
scrapy/utils/test.py  [21 edits, last: 2015-05-09]
