modules/ui.py  [645 edits, last: 2023-12-02]
modules/shared.py  [565 edits, last: 2023-08-22]
modules/processing.py  [447 edits, last: 2023-12-03]
modules/sd_models.py  [202 edits, last: 2023-12-01]
modules/images.py  [190 edits, last: 2023-09-30]
modules/api/api.py  [168 edits, last: 2023-12-02]
modules/sd_hijack.py  [151 edits, last: 2023-12-02]
modules/textual_inversion/textual_inversion.py  [148 edits, last: 2023-10-14]
modules/hypernetworks/hypernetwork.py  [132 edits, last: 2023-09-09]
modules/img2img.py  [125 edits, last: 2023-11-19]
modules/extras.py  [110 edits, last: 2023-08-01]
modules/sd_samplers.py  [104 edits, last: 2023-08-08]
modules/generation_parameters_copypaste.py  [103 edits, last: 2023-12-02]
modules/sd_samplers_kdiffusion.py  [96 edits, last: 2023-08-30]
modules/scripts.py  [92 edits, last: 2023-12-02]
modules/ui_extra_networks.py  [92 edits, last: 2023-11-26]
modules/ui_extensions.py  [79 edits, last: 2023-11-26]
modules/launch_utils.py  [70 edits, last: 2023-12-03]
modules/api/models.py  [69 edits, last: 2023-12-02]
modules/devices.py  [67 edits, last: 2023-12-02]
modules/sd_hijack_optimizations.py  [63 edits, last: 2023-08-23]
modules/txt2img.py  [61 edits, last: 2023-09-09]
modules/shared_options.py  [54 edits, last: 2023-12-02]
modules/script_callbacks.py  [52 edits, last: 2023-08-30]
modules/sd_samplers_common.py  [43 edits, last: 2023-08-30]
modules/textual_inversion/dataset.py  [43 edits, last: 2023-06-02]
modules/extensions.py  [42 edits, last: 2023-11-20]
modules/sd_vae.py  [42 edits, last: 2023-08-27]
modules/cmd_args.py  [40 edits, last: 2023-12-02]
modules/interrogate.py  [38 edits, last: 2023-08-22]
modules/prompt_parser.py  [36 edits, last: 2023-10-29]
modules/modelloader.py  [32 edits, last: 2023-06-13]
modules/deepbooru.py  [31 edits, last: 2023-05-10]
modules/esrgan_model.py  [29 edits, last: 2023-06-13]
modules/paths.py  [27 edits, last: 2023-09-13]
modules/realesrgan_model.py  [27 edits, last: 2023-08-23]
modules/codeformer_model.py  [24 edits, last: 2023-07-08]
modules/ui_common.py  [24 edits, last: 2023-11-05]
modules/ui_extra_networks_checkpoints.py  [24 edits, last: 2023-11-05]
modules/hypernetworks/ui.py  [24 edits, last: 2023-05-10]
modules/gfpgan_model.py  [21 edits, last: 2023-10-22]
modules/sd_hijack_clip.py  [21 edits, last: 2023-08-03]
modules/safe.py  [20 edits, last: 2023-05-31]
modules/styles.py  [20 edits, last: 2023-12-05]
modules/ui_extra_networks_hypernets.py  [20 edits, last: 2023-09-12]
modules/upscaler.py  [20 edits, last: 2023-12-02]
modules/progress.py  [19 edits, last: 2023-08-22]
modules/ui_extra_networks_textual_inversion.py  [19 edits, last: 2023-09-12]
modules/ui_tempdir.py  [19 edits, last: 2023-08-21]
modules/call_queue.py  [18 edits, last: 2023-08-23]
modules/errors.py  [17 edits, last: 2023-11-24]
modules/mac_specific.py  [17 edits, last: 2023-11-29]
modules/postprocessing.py  [17 edits, last: 2023-12-04]
modules/sd_samplers_compvis.py  [17 edits, last: 2023-08-08]
modules/ui_components.py  [17 edits, last: 2023-08-21]
modules/ui_extra_networks_user_metadata.py  [17 edits, last: 2023-11-26]
modules/lowvram.py  [15 edits, last: 2023-08-22]
modules/sd_models_config.py  [15 edits, last: 2023-10-01]
modules/textual_inversion/autocrop.py  [15 edits, last: 2023-11-28]
modules/shared_items.py  [14 edits, last: 2023-12-02]
modules/extra_networks.py  [13 edits, last: 2023-08-27]
modules/ngrok.py  [13 edits, last: 2023-05-16]
modules/sd_models_xl.py  [13 edits, last: 2023-08-01]
modules/textual_inversion/image_embedding.py  [12 edits, last: 2023-06-02]
modules/sd_samplers_timesteps.py  [11 edits, last: 2023-08-30]
modules/sub_quadratic_attention.py  [11 edits, last: 2023-08-29]
modules/sysinfo.py  [11 edits, last: 2023-11-24]
modules/ui_settings.py  [11 edits, last: 2023-10-15]
modules/models/diffusion/uni_pc/uni_pc.py  [11 edits, last: 2023-05-11]
modules/textual_inversion/ui.py  [11 edits, last: 2023-12-02]
modules/config_states.py  [10 edits, last: 2023-09-16]
modules/localization.py  [10 edits, last: 2023-09-11]
modules/sd_disable_initialization.py  [10 edits, last: 2023-08-16]
modules/sd_hijack_unet.py  [10 edits, last: 2023-07-18]
modules/hashes.py  [9 edits, last: 2023-07-15]
modules/options.py  [9 edits, last: 2023-11-26]
modules/ui_loadsave.py  [9 edits, last: 2023-11-26]
modules/models/diffusion/uni_pc/sampler.py  [9 edits, last: 2023-05-10]
modules/cache.py  [8 edits, last: 2023-11-26]
modules/sd_samplers_cfg_denoiser.py  [8 edits, last: 2023-08-21]
modules/sd_vae_approx.py  [8 edits, last: 2023-11-29]
modules/models/diffusion/ddpm_edit.py  [8 edits, last: 2023-12-04]
modules/textual_inversion/learn_schedule.py  [8 edits, last: 2023-05-10]
modules/esrgan_model_arch.py  [7 edits, last: 2023-05-11]
modules/extra_networks_hypernet.py  [7 edits, last: 2023-06-02]
modules/scripts_postprocessing.py  [7 edits, last: 2023-12-02]
modules/ui_postprocessing.py  [7 edits, last: 2023-12-04]
modules/processing_scripts/seed.py  [7 edits, last: 2023-09-01]
modules/paths_internal.py  [6 edits, last: 2023-09-13]
modules/script_loading.py  [6 edits, last: 2023-07-18]
modules/sd_vae_taesd.py  [6 edits, last: 2023-08-04]
modules/processing_scripts/refiner.py  [6 edits, last: 2023-08-15]
modules/sd_hijack_open_clip.py  [5 edits, last: 2023-07-24]
