thefuck/utils.py  [80 edits, last: 2019-12-16]
thefuck/types.py  [47 edits, last: 2020-11-03]
thefuck/rules/sudo.py  [40 edits, last: 2019-09-02]
thefuck/conf.py  [37 edits, last: 2018-10-08]
thefuck/rules/no_command.py  [32 edits, last: 2019-05-27]
thefuck/shells/bash.py  [28 edits, last: 2019-05-27]
thefuck/shells/fish.py  [27 edits, last: 2019-05-27]
thefuck/logs.py  [26 edits, last: 2019-12-23]
thefuck/shells/zsh.py  [26 edits, last: 2019-05-27]
thefuck/corrector.py  [23 edits, last: 2020-11-03]
thefuck/ui.py  [23 edits, last: 2019-01-15]
thefuck/rules/git_push.py  [19 edits, last: 2018-07-10]
thefuck/rules/cd_correction.py  [18 edits, last: 2018-10-08]
thefuck/shells/generic.py  [18 edits, last: 2019-05-27]
thefuck/const.py  [16 edits, last: 2018-10-08]
thefuck/rules/git_checkout.py  [15 edits, last: 2020-01-13]
thefuck/rules/pacman.py  [15 edits, last: 2017-08-31]
thefuck/rules/brew_unknown_command.py  [14 edits, last: 2020-07-16]
thefuck/rules/dirty_unzip.py  [14 edits, last: 2017-10-25]
thefuck/rules/fix_file.py  [14 edits, last: 2017-08-31]
thefuck/rules/switch_lang.py  [14 edits, last: 2019-10-19]
thefuck/rules/apt_get.py  [13 edits, last: 2018-02-23]
thefuck/rules/git_not_command.py  [13 edits, last: 2017-08-31]
thefuck/rules/git_add.py  [12 edits, last: 2017-08-31]
thefuck/shells/__init__.py  [12 edits, last: 2018-10-09]
thefuck/rules/brew_install.py  [11 edits, last: 2018-10-08]
thefuck/rules/git_push_pull.py  [11 edits, last: 2017-08-31]
thefuck/rules/rm_root.py  [11 edits, last: 2017-08-31]
thefuck/rules/vagrant_up.py  [11 edits, last: 2017-08-31]
thefuck/shells/powershell.py  [11 edits, last: 2019-11-02]
thefuck/rules/dirty_untar.py  [10 edits, last: 2016-01-29]
thefuck/rules/docker_not_command.py  [10 edits, last: 2019-08-21]
thefuck/rules/git_push_force.py  [10 edits, last: 2017-08-31]
