thefuck/main.py  [67 edits, last: 2016-01-29]
thefuck/utils.py  [52 edits, last: 2016-03-08]
thefuck/rules/sudo.py  [35 edits, last: 2016-02-16]
thefuck/types.py  [29 edits, last: 2016-02-22]
thefuck/rules/no_command.py  [27 edits, last: 2015-10-29]
thefuck/conf.py  [25 edits, last: 2016-02-22]
thefuck/ui.py  [18 edits, last: 2016-02-22]
thefuck/corrector.py  [17 edits, last: 2015-11-25]
thefuck/logs.py  [15 edits, last: 2015-11-01]
thefuck/rules/cd_correction.py  [14 edits, last: 2015-11-25]
thefuck/rules/pacman.py  [13 edits, last: 2016-01-29]
thefuck/rules/dirty_unzip.py  [12 edits, last: 2016-01-29]
thefuck/rules/fix_file.py  [12 edits, last: 2016-01-29]
thefuck/rules/brew_unknown_command.py  [10 edits, last: 2016-02-06]
thefuck/rules/dirty_untar.py  [10 edits, last: 2016-01-29]
thefuck/rules/git_checkout.py  [10 edits, last: 2016-01-29]
thefuck/rules/git_not_command.py  [10 edits, last: 2015-09-07]
thefuck/rules/rm_root.py  [10 edits, last: 2015-10-29]
thefuck/rules/git_add.py  [9 edits, last: 2016-01-29]
thefuck/rules/git_branch_list.py  [9 edits, last: 2016-01-29]
thefuck/rules/git_push_force.py  [9 edits, last: 2015-10-30]
thefuck/rules/git_stash.py  [9 edits, last: 2016-01-29]
thefuck/rules/has_exists_script.py  [9 edits, last: 2015-10-29]
thefuck/rules/ls_lah.py  [9 edits, last: 2015-10-29]
thefuck/rules/vagrant_up.py  [9 edits, last: 2016-01-29]
thefuck/rules/apt_get.py  [8 edits, last: 2016-02-06]
thefuck/rules/brew_install.py  [8 edits, last: 2016-02-06]
thefuck/rules/git_diff_staged.py  [8 edits, last: 2015-09-07]
thefuck/rules/git_pull.py  [8 edits, last: 2016-01-29]
thefuck/rules/git_push_pull.py  [8 edits, last: 2016-01-29]
thefuck/rules/history.py  [8 edits, last: 2016-01-29]
thefuck/rules/python_command.py  [8 edits, last: 2015-10-29]
thefuck/rules/switch_lang.py  [8 edits, last: 2016-01-29]
thefuck/rules/tmux.py  [8 edits, last: 2015-11-25]
thefuck/rules/cd_mkdir.py  [7 edits, last: 2016-01-29]
thefuck/rules/cp_omitting_directory.py  [7 edits, last: 2015-09-07]
thefuck/rules/docker_not_command.py  [7 edits, last: 2015-09-07]
thefuck/rules/git_branch_delete.py  [7 edits, last: 2015-09-07]
thefuck/rules/git_fix_stash.py  [7 edits, last: 2015-10-29]
thefuck/rules/git_push.py  [7 edits, last: 2015-09-07]
thefuck/rules/lein_not_task.py  [7 edits, last: 2015-09-07]
thefuck/rules/mercurial.py  [7 edits, last: 2015-10-29]
thefuck/rules/open.py  [7 edits, last: 2015-09-07]
thefuck/rules/ssh_known_hosts.py  [7 edits, last: 2015-09-07]
thefuck/rules/systemctl.py  [7 edits, last: 2015-10-29]
thefuck/rules/whois.py  [7 edits, last: 2015-10-29]
thefuck/specific/git.py  [7 edits, last: 2016-01-29]
thefuck/rules/cargo_no_command.py  [6 edits, last: 2015-10-29]
thefuck/rules/git_pull_clone.py  [6 edits, last: 2015-09-07]
thefuck/rules/man.py  [6 edits, last: 2015-10-29]
thefuck/rules/pacman_not_found.py  [6 edits, last: 2015-10-29]
thefuck/rules/rm_dir.py  [6 edits, last: 2015-09-07]
thefuck/rules/tsuru_not_command.py  [6 edits, last: 2015-09-07]
thefuck/rules/composer_not_command.py  [5 edits, last: 2015-09-07]
thefuck/rules/dry.py  [5 edits, last: 2015-10-29]
thefuck/rules/grep_recursive.py  [5 edits, last: 2015-11-25]
thefuck/rules/heroku_not_command.py  [5 edits, last: 2015-09-07]
thefuck/rules/javac.py  [5 edits, last: 2015-09-07]
thefuck/rules/mkdir_p.py  [5 edits, last: 2015-09-07]
thefuck/rules/no_such_file.py  [5 edits, last: 2016-01-29]
thefuck/rules/sed_unterminated_s.py  [5 edits, last: 2016-01-29]
thefuck/shells/__init__.py  [5 edits, last: 2016-01-29]
thefuck/specific/sudo.py  [5 edits, last: 2015-11-15]
thefuck/rules/apt_get_search.py  [4 edits, last: 2016-02-06]
thefuck/rules/brew_upgrade.py  [4 edits, last: 2016-02-06]
thefuck/rules/cpp11.py  [4 edits, last: 2015-10-28]
thefuck/rules/go_run.py  [4 edits, last: 2015-09-07]
thefuck/rules/gulp_not_task.py  [4 edits, last: 2015-09-07]
thefuck/rules/java.py  [4 edits, last: 2015-09-07]
thefuck/rules/pip_unknown_command.py  [4 edits, last: 2015-09-07]
thefuck/rules/tsuru_login.py  [4 edits, last: 2016-01-29]
thefuck/rules/unknown_command.py  [4 edits, last: 2015-11-15]
thefuck/shells/bash.py  [4 edits, last: 2016-03-01]
thefuck/shells/zsh.py  [4 edits, last: 2016-03-01]
thefuck/rules/cd_parent.py  [3 edits, last: 2015-09-07]
thefuck/rules/fix_alt_space.py  [3 edits, last: 2015-09-07]
thefuck/rules/ln_no_hard_link.py  [3 edits, last: 2016-03-03]
thefuck/rules/mvn_no_command.py  [3 edits, last: 2015-09-07]
thefuck/rules/mvn_unknown_lifecycle_phase.py  [3 edits, last: 2015-09-07]
thefuck/rules/python_execute.py  [3 edits, last: 2015-09-07]
thefuck/rules/quotation_marks.py  [3 edits, last: 2015-09-07]
thefuck/rules/touch.py  [3 edits, last: 2016-01-29]
thefuck/shells/generic.py  [3 edits, last: 2016-02-22]
thefuck/specific/brew.py  [3 edits, last: 2016-02-06]
thefuck/const.py  [2 edits, last: 2016-02-22]
thefuck/exceptions.py  [2 edits, last: 2015-09-08]
thefuck/rules/apt_invalid_operation.py  [2 edits, last: 2016-02-06]
thefuck/rules/cargo.py  [2 edits, last: 2015-09-07]
thefuck/rules/django_south_ghost.py  [2 edits, last: 2015-09-07]
thefuck/rules/django_south_merge.py  [2 edits, last: 2015-09-07]
thefuck/rules/man_no_space.py  [2 edits, last: 2015-09-07]
thefuck/rules/sl_ls.py  [2 edits, last: 2015-09-07]
thefuck/rules/test.py.py  [2 edits, last: 2015-09-07]
thefuck/shells/fish.py  [2 edits, last: 2016-02-18]
thefuck/specific/archlinux.py  [2 edits, last: 2015-09-02]
thefuck/system/win32.py  [2 edits, last: 2015-12-04]
thefuck/__init__.py  [1 edits, last: 2015-04-17]
thefuck/rules/__init__.py  [1 edits, last: 2015-04-17]
thefuck/rules/git_remote_seturl_add.py  [1 edits, last: 2016-03-04]
thefuck/rules/git_two_dashes.py  [1 edits, last: 2015-10-17]
thefuck/rules/grep_arguments_order.py  [1 edits, last: 2016-02-08]
thefuck/rules/npm_wrong_command.py  [1 edits, last: 2016-02-06]
thefuck/shells/tcsh.py  [1 edits, last: 2016-01-23]
thefuck/specific/__init__.py  [1 edits, last: 2015-08-25]
thefuck/specific/apt.py  [1 edits, last: 2016-02-06]
thefuck/system/__init__.py  [1 edits, last: 2015-12-03]
thefuck/system/unix.py  [1 edits, last: 2015-12-03]
