thefuck/main.py  [65 edits, last: 2015-12-04]
thefuck/shells.py  [58 edits, last: 2016-01-20]
thefuck/utils.py  [47 edits, last: 2016-01-21]
thefuck/rules/sudo.py  [33 edits, last: 2016-01-24]
thefuck/rules/no_command.py  [27 edits, last: 2015-10-29]
thefuck/types.py  [26 edits, last: 2016-01-16]
thefuck/conf.py  [24 edits, last: 2016-01-13]
thefuck/corrector.py  [17 edits, last: 2015-11-25]
thefuck/ui.py  [17 edits, last: 2015-12-03]
thefuck/logs.py  [15 edits, last: 2015-11-01]
thefuck/rules/cd_correction.py  [14 edits, last: 2015-11-25]
thefuck/rules/pacman.py  [12 edits, last: 2015-09-07]
thefuck/rules/dirty_unzip.py  [11 edits, last: 2015-12-29]
thefuck/rules/fix_file.py  [11 edits, last: 2015-11-25]
thefuck/rules/git_not_command.py  [10 edits, last: 2015-09-07]
thefuck/rules/rm_root.py  [10 edits, last: 2015-10-29]
thefuck/rules/brew_unknown_command.py  [9 edits, last: 2015-09-07]
thefuck/rules/dirty_untar.py  [9 edits, last: 2015-12-29]
thefuck/rules/git_checkout.py  [9 edits, last: 2015-09-07]
thefuck/rules/git_push_force.py  [9 edits, last: 2015-10-30]
thefuck/rules/has_exists_script.py  [9 edits, last: 2015-10-29]
thefuck/rules/ls_lah.py  [9 edits, last: 2015-10-29]
thefuck/rules/git_add.py  [8 edits, last: 2015-09-07]
thefuck/rules/git_branch_list.py  [8 edits, last: 2015-10-29]
thefuck/rules/git_diff_staged.py  [8 edits, last: 2015-09-07]
thefuck/rules/git_stash.py  [8 edits, last: 2015-09-07]
thefuck/rules/python_command.py  [8 edits, last: 2015-10-29]
thefuck/rules/tmux.py  [8 edits, last: 2015-11-25]
thefuck/rules/vagrant_up.py  [8 edits, last: 2015-11-15]
thefuck/rules/brew_install.py  [7 edits, last: 2015-09-07]
thefuck/rules/cp_omitting_directory.py  [7 edits, last: 2015-09-07]
thefuck/rules/docker_not_command.py  [7 edits, last: 2015-09-07]
thefuck/rules/git_branch_delete.py  [7 edits, last: 2015-09-07]
thefuck/rules/git_fix_stash.py  [7 edits, last: 2015-10-29]
thefuck/rules/git_pull.py  [7 edits, last: 2015-09-07]
thefuck/rules/git_push.py  [7 edits, last: 2015-09-07]
thefuck/rules/git_push_pull.py  [7 edits, last: 2015-09-07]
thefuck/rules/lein_not_task.py  [7 edits, last: 2015-09-07]
thefuck/rules/mercurial.py  [7 edits, last: 2015-10-29]
thefuck/rules/open.py  [7 edits, last: 2015-09-07]
thefuck/rules/ssh_known_hosts.py  [7 edits, last: 2015-09-07]
thefuck/rules/switch_lang.py  [7 edits, last: 2015-10-28]
thefuck/rules/systemctl.py  [7 edits, last: 2015-10-29]
thefuck/rules/whois.py  [7 edits, last: 2015-10-29]
thefuck/rules/apt_get.py  [6 edits, last: 2015-09-07]
thefuck/rules/cargo_no_command.py  [6 edits, last: 2015-10-29]
thefuck/rules/cd_mkdir.py  [6 edits, last: 2016-01-05]
thefuck/rules/git_pull_clone.py  [6 edits, last: 2015-09-07]
thefuck/rules/history.py  [6 edits, last: 2015-09-07]
thefuck/rules/man.py  [6 edits, last: 2015-10-29]
thefuck/rules/pacman_not_found.py  [6 edits, last: 2015-10-29]
thefuck/rules/rm_dir.py  [6 edits, last: 2015-09-07]
thefuck/rules/tsuru_not_command.py  [6 edits, last: 2015-09-07]
thefuck/specific/git.py  [6 edits, last: 2015-10-28]
thefuck/rules/composer_not_command.py  [5 edits, last: 2015-09-07]
thefuck/rules/dry.py  [5 edits, last: 2015-10-29]
thefuck/rules/grep_recursive.py  [5 edits, last: 2015-11-25]
thefuck/rules/heroku_not_command.py  [5 edits, last: 2015-09-07]
thefuck/rules/javac.py  [5 edits, last: 2015-09-07]
thefuck/rules/mkdir_p.py  [5 edits, last: 2015-09-07]
thefuck/specific/sudo.py  [5 edits, last: 2015-11-15]
thefuck/rules/cpp11.py  [4 edits, last: 2015-10-28]
thefuck/rules/go_run.py  [4 edits, last: 2015-09-07]
thefuck/rules/gulp_not_task.py  [4 edits, last: 2015-09-07]
thefuck/rules/java.py  [4 edits, last: 2015-09-07]
thefuck/rules/no_such_file.py  [4 edits, last: 2015-09-07]
thefuck/rules/pip_unknown_command.py  [4 edits, last: 2015-09-07]
thefuck/rules/sed_unterminated_s.py  [4 edits, last: 2015-10-28]
thefuck/rules/unknown_command.py  [4 edits, last: 2015-11-15]
