batch,requested_model,task_idx,map_type,rep,input_tokens,output_tokens,cost,turns,wall_time,stop_reason,precision,recall,f1,model
batch1_medium,mistral/devstral-medium-latest,0,ast_compact,0,230148,902,0.04537,20,81.11,max_turns,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,0,ast_compact,1,241450,1063,0.040543,20,35.72,max_turns,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,0,ast_compact,2,238197,966,0.038254,20,44.8,max_turns,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,0,ast_compact,3,163045,1137,0.009118,16,42.65,submitted,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,0,ast_compact,4,216538,1363,0.044362,20,72.32,max_turns,0.5,1.0,0.6667,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,0,ast,0,303399,1629,0.07457,14,134.35,submitted,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,0,ast,1,223812,1330,0.033606,12,48.85,submitted,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,0,ast,2,223005,810,0.005401,11,75.53,submitted,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,0,ast,3,306293,1080,0.064965,16,143.72,submitted,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,0,ast,4,281852,1043,0.058929,14,109.94,submitted,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,0,none,0,96960,1138,0.028439,20,70.64,max_turns,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,0,none,1,168494,511,0.032189,20,49.25,max_turns,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,0,none,2,107341,939,0.01732,20,40.18,max_turns,1.0,1.0,1.0,devstral-medium-2512
