model_short,metric,label,comparison,n_triples,median_diff,sign
GLM-4.7,f1,F1,ast_vs_none,25,0.0,zero
GLM-4.7,f1,F1,ast_compact_vs_none,25,0.0,zero
GLM-4.7,f1,F1,ast_vs_ast_compact,25,0.0,zero
GLM-4.7-Flash,f1,F1,ast_vs_none,25,0.0,zero
GLM-4.7-Flash,f1,F1,ast_compact_vs_none,25,0.0,zero
GLM-4.7-Flash,f1,F1,ast_vs_ast_compact,25,0.0,zero
Nemotron-Nano-30B,f1,F1,ast_vs_none,25,0.0,zero
Nemotron-Nano-30B,f1,F1,ast_compact_vs_none,25,0.0,zero
Nemotron-Nano-30B,f1,F1,ast_vs_ast_compact,25,0.0,zero
Nemotron-Super-120B,f1,F1,ast_vs_none,25,0.0,zero
Nemotron-Super-120B,f1,F1,ast_compact_vs_none,25,0.0,zero
Nemotron-Super-120B,f1,F1,ast_vs_ast_compact,25,0.0,zero
Qwen3-VL-235B,f1,F1,ast_vs_none,25,0.0,zero
Qwen3-VL-235B,f1,F1,ast_compact_vs_none,25,0.0,zero
Qwen3-VL-235B,f1,F1,ast_vs_ast_compact,25,0.0,zero
Qwen3-VL-30B,f1,F1,ast_vs_none,25,0.0,zero
Qwen3-VL-30B,f1,F1,ast_compact_vs_none,25,0.0,zero
Qwen3-VL-30B,f1,F1,ast_vs_ast_compact,25,0.0,zero
deepseek-flash,f1,F1,ast_vs_none,25,0.0,zero
deepseek-flash,f1,F1,ast_compact_vs_none,25,0.0,zero
deepseek-flash,f1,F1,ast_vs_ast_compact,25,0.0,zero
deepseek-pro,f1,F1,ast_vs_none,25,0.0,zero
deepseek-pro,f1,F1,ast_compact_vs_none,25,0.0,zero
deepseek-pro,f1,F1,ast_vs_ast_compact,25,0.0,zero
gpt-oss-120b,f1,F1,ast_vs_none,25,0.0,zero
gpt-oss-120b,f1,F1,ast_compact_vs_none,25,0.0,zero
gpt-oss-120b,f1,F1,ast_vs_ast_compact,25,0.0,zero
gpt-oss-20b,f1,F1,ast_vs_none,25,0.0,zero
gpt-oss-20b,f1,F1,ast_compact_vs_none,25,0.0,zero
gpt-oss-20b,f1,F1,ast_vs_ast_compact,25,0.0,zero
ministral-14b,f1,F1,ast_vs_none,25,0.0,zero
ministral-14b,f1,F1,ast_compact_vs_none,25,0.0,zero
ministral-14b,f1,F1,ast_vs_ast_compact,25,0.0,zero
ministral-3b,f1,F1,ast_vs_none,25,0.0,zero
ministral-3b,f1,F1,ast_compact_vs_none,25,0.0,zero
ministral-3b,f1,F1,ast_vs_ast_compact,25,0.0,zero
