metric,label,comparison,n_triples,n_nonzero_diff,median_diff,wilcoxon_stat,p_raw,effect_size_r,p_holm
f1,F1,ast_vs_none,300,114,0.0,2410.0,0.013329,0.264683,0.039986
f1,F1,ast_compact_vs_none,300,106,0.0,2587.0,0.430004,0.087639,0.430004
f1,F1,ast_vs_ast_compact,300,95,0.0,1750.0,0.047728,0.232456,0.095455
precision,Precision,ast_vs_none,300,77,0.0,977.0,0.00544,0.349317,0.01632
precision,Precision,ast_compact_vs_none,300,70,0.0,1153.5,0.584842,0.07163,0.584842
precision,Precision,ast_vs_ast_compact,300,65,0.0,731.5,0.021194,0.317949,0.042388
recall,Recall,ast_vs_none,300,106,0.0,2118.5,0.020616,0.252865,0.061848
recall,Recall,ast_compact_vs_none,300,99,0.0,2210.5,0.347075,0.106869,0.347075
recall,Recall,ast_vs_ast_compact,300,87,0.0,1539.5,0.105532,0.195664,0.211064
input_tokens,Input tokens,ast_vs_none,300,300,89634.5,1622.0,0.0,0.928151,0.0
input_tokens,Input tokens,ast_compact_vs_none,300,300,27246.0,8531.0,0.0,0.622104,0.0
input_tokens,Input tokens,ast_vs_ast_compact,300,300,55396.0,4598.0,0.0,0.796323,0.0
cached_tokens,Cached tokens,ast_vs_none,300,200,25664.0,810.0,0.0,0.919403,0.0
cached_tokens,Cached tokens,ast_compact_vs_none,300,200,3264.0,3935.0,0.0,0.608458,0.0
cached_tokens,Cached tokens,ast_vs_ast_compact,300,200,5264.5,2961.5,0.0,0.705323,0.0
output_tokens,Output tokens,ast_vs_none,300,300,183.0,19336.0,0.031244,0.143477,0.049301
output_tokens,Output tokens,ast_compact_vs_none,300,300,203.0,17237.0,0.000386,0.236456,0.001157
output_tokens,Output tokens,ast_vs_ast_compact,300,298,-115.0,18930.5,0.024651,-0.150165,0.049301
turns,Turns,ast_vs_none,300,247,-2.0,7684.0,0.0,-0.498237,0.0
turns,Turns,ast_compact_vs_none,300,235,-1.0,6646.5,0.0,-0.520627,0.0
turns,Turns,ast_vs_ast_compact,300,243,0.0,13443.0,0.207226,-0.093099,0.207226
wall_time,Wall time (s),ast_vs_none,300,300,3.23,17541.5,0.000816,0.222968,0.002448
wall_time,Wall time (s),ast_compact_vs_none,300,300,0.665,19469.0,0.038875,0.137586,0.077751
wall_time,Wall time (s),ast_vs_ast_compact,300,300,1.53,20217.5,0.11694,0.10443,0.11694
cost_usd,Cost (USD),ast_vs_none,300,300,0.005094,6112.0,0.0,0.729258,0.0
cost_usd,Cost (USD),ast_compact_vs_none,300,300,0.00184,12154.5,0.0,0.461595,0.0
cost_usd,Cost (USD),ast_vs_ast_compact,300,300,0.002739,8995.0,0.0,0.60155,0.0
