requests/models.py  [665 edits, last: 2016-11-21]
requests/sessions.py  [281 edits, last: 2016-11-02]
requests/utils.py  [206 edits, last: 2016-11-02]
requests/__init__.py  [137 edits, last: 2016-11-16]
requests/adapters.py  [122 edits, last: 2016-10-31]
requests/api.py  [119 edits, last: 2016-11-15]
requests/auth.py  [105 edits, last: 2016-11-17]
requests/cookies.py  [71 edits, last: 2016-09-26]
requests/exceptions.py  [41 edits, last: 2016-11-02]
requests/structures.py  [35 edits, last: 2016-07-20]
requests/compat.py  [31 edits, last: 2016-11-02]
requests/hooks.py  [27 edits, last: 2016-07-20]
requests/status_codes.py  [23 edits, last: 2016-07-20]
requests/certs.py  [6 edits, last: 2016-07-19]
requests/_internal_utils.py  [2 edits, last: 2016-09-27]
