metric,group,model_short,n,min,q1,median,mean,std,q3,max
Cost (USD),cost,Overall,900,0.000179,0.003783,0.007529,0.0119,0.014206,0.014095,0.156995
Cost (USD),cost,Qwen3-VL-30B,75,0.000827,0.004896,0.008,0.011251,0.010737,0.016002,0.061454
Cost (USD),cost,Qwen3-VL-235B,75,0.001057,0.005501,0.01371,0.022899,0.027685,0.029346,0.156995
Cost (USD),cost,gpt-oss-20b,75,0.000493,0.005198,0.010534,0.011458,0.008057,0.015142,0.03529
Cost (USD),cost,gpt-oss-120b,75,0.000697,0.003812,0.006052,0.006265,0.003268,0.008425,0.016337
Cost (USD),cost,ministral-3b,75,0.000179,0.001584,0.002638,0.003376,0.002285,0.004929,0.00899
Cost (USD),cost,ministral-14b,75,0.001049,0.005964,0.010295,0.012502,0.011191,0.014713,0.080108
Cost (USD),cost,deepseek-flash,75,0.000234,0.001556,0.002451,0.003519,0.003305,0.003771,0.014509
Cost (USD),cost,deepseek-pro,75,0.000765,0.003746,0.005319,0.011172,0.012471,0.014192,0.051514
Cost (USD),cost,Nemotron-Nano-30B,75,0.000948,0.004541,0.011283,0.012252,0.008646,0.017851,0.048578
Cost (USD),cost,Nemotron-Super-120B,75,0.002009,0.004812,0.007714,0.008888,0.005019,0.011248,0.022816
Cost (USD),cost,GLM-4.7-Flash,75,0.001386,0.004484,0.006446,0.007153,0.003793,0.009134,0.018874
Cost (USD),cost,GLM-4.7,75,0.006431,0.018616,0.031648,0.032067,0.018374,0.041388,0.080971
"Cost, no caching discount (USD)",cost,Overall,900,0.000493,0.006658,0.013544,0.026086,0.038096,0.025484,0.261087
"Cost, no caching discount (USD)",cost,Qwen3-VL-30B,75,0.000827,0.004896,0.008,0.011251,0.010737,0.016002,0.061454
"Cost, no caching discount (USD)",cost,Qwen3-VL-235B,75,0.001057,0.005501,0.01371,0.022899,0.027685,0.029346,0.156995
"Cost, no caching discount (USD)",cost,gpt-oss-20b,75,0.000493,0.005198,0.010534,0.011458,0.008057,0.015142,0.03529
"Cost, no caching discount (USD)",cost,gpt-oss-120b,75,0.001237,0.007799,0.015651,0.017649,0.011779,0.023912,0.054558
"Cost, no caching discount (USD)",cost,ministral-3b,75,0.000704,0.00335,0.006779,0.008441,0.007152,0.010631,0.035556
"Cost, no caching discount (USD)",cost,ministral-14b,75,0.002032,0.009839,0.014892,0.01905,0.016779,0.023622,0.10801
"Cost, no caching discount (USD)",cost,deepseek-flash,75,0.000795,0.008439,0.013273,0.021813,0.0211,0.026184,0.118315
"Cost, no caching discount (USD)",cost,deepseek-pro,75,0.002532,0.020236,0.035842,0.070711,0.06988,0.11514,0.261087
"Cost, no caching discount (USD)",cost,Nemotron-Nano-30B,75,0.000948,0.004541,0.011283,0.012252,0.008646,0.017851,0.048578
"Cost, no caching discount (USD)",cost,Nemotron-Super-120B,75,0.002009,0.004812,0.007714,0.008888,0.005019,0.011248,0.022816
"Cost, no caching discount (USD)",cost,GLM-4.7-Flash,75,0.002679,0.011528,0.015177,0.017806,0.009085,0.025054,0.038658
"Cost, no caching discount (USD)",cost,GLM-4.7,75,0.012038,0.04413,0.090946,0.090812,0.054486,0.125548,0.226747
Wall time (s),time,Overall,900,3.85,24.7825,55.62,112.782689,140.859566,137.8175,1584.6
Wall time (s),time,Qwen3-VL-30B,75,11.28,28.675,45.66,121.3296,188.339824,61.065,631.79
Wall time (s),time,Qwen3-VL-235B,75,11.45,32.535,55.66,72.042267,63.310741,89.625,463.47
Wall time (s),time,gpt-oss-20b,75,19.49,123.1,210.07,236.0276,149.037932,323.065,571.08
Wall time (s),time,gpt-oss-120b,75,4.01,24.14,34.05,40.3296,27.307244,51.165,137.24
Wall time (s),time,ministral-3b,75,4.5,9.35,14.03,15.459067,8.293112,19.735,37.41
Wall time (s),time,ministral-14b,75,3.85,12.53,20.32,21.239467,11.8409,27.285,54.41
Wall time (s),time,deepseek-flash,75,7.38,22.02,31.72,61.472667,69.015251,63.28,291.37
Wall time (s),time,deepseek-pro,75,6.88,18.3,28.56,74.282267,92.029194,91.475,374.35
Wall time (s),time,Nemotron-Nano-30B,75,16.55,67.515,117.58,216.887867,241.511071,323.5,1584.6
Wall time (s),time,Nemotron-Super-120B,75,19.53,77.32,120.25,168.8504,143.834302,212.855,733.9
Wall time (s),time,GLM-4.7-Flash,75,20.13,95.22,117.35,147.344933,98.779028,172.27,585.73
Wall time (s),time,GLM-4.7,75,31.77,100.56,154.39,178.126533,109.315533,238.91,545.96
Turns,time,Overall,900,1.0,6.0,10.0,11.134444,6.197593,18.0,20.0
Turns,time,Qwen3-VL-30B,75,2.0,3.0,4.0,6.306667,4.937374,7.0,20.0
Turns,time,Qwen3-VL-235B,75,2.0,4.5,6.0,7.96,5.097535,10.0,20.0
Turns,time,gpt-oss-20b,75,1.0,11.0,14.0,13.813333,5.174504,20.0,20.0
Turns,time,gpt-oss-120b,75,3.0,7.5,11.0,11.2,4.901737,15.0,20.0
Turns,time,ministral-3b,75,3.0,6.0,8.0,9.44,5.149757,12.0,20.0
Turns,time,ministral-14b,75,3.0,6.0,8.0,9.96,5.754998,14.5,20.0
Turns,time,deepseek-flash,75,3.0,5.0,8.0,9.306667,5.198683,12.0,20.0
Turns,time,deepseek-pro,75,2.0,5.0,7.0,9.186667,5.656122,13.0,20.0
Turns,time,Nemotron-Nano-30B,75,3.0,11.0,18.0,15.586667,5.312131,20.0,20.0
Turns,time,Nemotron-Super-120B,75,1.0,4.0,6.0,6.64,3.236782,8.0,15.0
Turns,time,GLM-4.7-Flash,75,6.0,19.0,20.0,18.386667,3.521722,20.0,20.0
Turns,time,GLM-4.7,75,4.0,12.0,19.0,15.826667,5.184106,20.0,20.0
Input tokens,tokens,Overall,900,3974.0,43945.25,89070.5,131016.367778,120534.192806,185245.25,771285.0
Input tokens,tokens,Qwen3-VL-30B,75,4009.0,29089.5,48202.0,60945.0,59156.172827,68530.0,402476.0
Input tokens,tokens,Qwen3-VL-235B,75,3974.0,24420.0,66588.0,109491.613333,135576.088938,140080.0,770233.0
Input tokens,tokens,gpt-oss-20b,75,4552.0,56484.0,128189.0,136925.44,102142.995997,187154.0,444572.0
Input tokens,tokens,gpt-oss-120b,75,5984.0,42714.5,99215.0,103043.64,72871.11867,141299.0,321981.0
Input tokens,tokens,ministral-3b,75,6829.0,32549.0,66430.0,83233.6,71229.113052,104766.0,352478.0
Input tokens,tokens,ministral-14b,75,9833.0,48276.5,73215.0,94036.226667,83486.323094,115989.5,537995.0
Input tokens,tokens,deepseek-flash,75,4780.0,55188.5,87994.0,143677.4,136887.225743,175988.0,771285.0
Input tokens,tokens,deepseek-pro,75,4925.0,41735.0,76293.0,146480.173333,142533.924057,237574.0,541943.0
Input tokens,tokens,Nemotron-Nano-30B,75,10904.0,72054.0,157935.0,175866.013333,122326.953912,238473.5,505204.0
Input tokens,tokens,Nemotron-Super-120B,75,13806.0,30752.0,48637.0,60441.413333,43066.741047,72548.0,220518.0
Input tokens,tokens,GLM-4.7-Flash,75,30931.0,162318.5,210414.0,249924.533333,129674.709738,375144.5,535148.0
Input tokens,tokens,GLM-4.7,75,22886.0,99299.0,210569.0,208131.36,127760.400224,295912.0,523881.0
Cached tokens,tokens,Overall,900,0.0,0.0,31246.0,76349.095556,107456.840536,104878.75,756608.0
Cached tokens,tokens,Qwen3-VL-30B,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cached tokens,tokens,Qwen3-VL-235B,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cached tokens,tokens,gpt-oss-20b,75,0.0,23877.5,57881.0,71210.16,69158.247941,91624.0,336001.0
Cached tokens,tokens,gpt-oss-120b,75,3094.0,31246.0,78731.0,84322.346667,66936.061478,114327.5,283120.0
Cached tokens,tokens,ministral-3b,75,3904.0,19360.0,39424.0,56286.72,58134.640533,68800.0,313472.0
Cached tokens,tokens,ministral-14b,75,384.0,12256.0,25664.0,36375.893333,39126.730101,48288.0,213632.0
Cached tokens,tokens,deepseek-flash,75,4096.0,47744.0,80768.0,133340.16,132216.790464,169216.0,756608.0
Cached tokens,tokens,deepseek-pro,75,4096.0,35520.0,73856.0,138019.84,138439.055182,226816.0,534784.0
Cached tokens,tokens,Nemotron-Nano-30B,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cached tokens,tokens,Nemotron-Super-120B,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cached tokens,tokens,GLM-4.7-Flash,75,25856.0,134784.0,183232.0,213057.706667,113529.693221,322496.0,467136.0
Cached tokens,tokens,GLM-4.7,75,16800.0,87424.0,177088.0,183576.32,114362.65289,263472.0,458624.0
Output tokens,tokens,Overall,900,91.0,1129.75,2704.0,5754.952222,8653.163517,6316.75,116591.0
Output tokens,tokens,Qwen3-VL-30B,75,329.0,683.0,911.0,3515.04,6069.846497,1384.0,20864.0
Output tokens,tokens,Qwen3-VL-235B,75,296.0,555.0,821.0,1137.4,924.496956,1390.5,6217.0
Output tokens,tokens,gpt-oss-20b,75,581.0,2679.0,4498.0,6243.08,5231.132655,7700.5,27318.0
Output tokens,tokens,gpt-oss-120b,75,248.0,2108.0,3161.0,3653.386667,2486.42678,4806.0,11761.0
Output tokens,tokens,ministral-3b,75,91.0,747.5,1027.0,1180.813333,712.65068,1444.5,3587.0
Output tokens,tokens,ministral-14b,75,192.0,745.5,1092.0,1212.84,677.778227,1755.5,2978.0
Output tokens,tokens,deepseek-flash,75,451.0,1927.0,2664.0,6066.466667,7711.509605,5881.5,36912.0
Output tokens,tokens,deepseek-pro,75,431.0,1475.5,2570.0,8036.666667,11038.886379,8805.0,44154.0
Output tokens,tokens,Nemotron-Nano-30B,75,1689.0,5728.5,8898.0,17291.666667,18587.786781,25176.5,116591.0
Output tokens,tokens,Nemotron-Super-120B,75,1715.0,4406.5,7474.0,9376.333333,6971.305197,11706.5,33134.0
Output tokens,tokens,GLM-4.7-Flash,75,1184.0,4344.0,5419.0,7026.333333,4961.697204,7823.5,28746.0
Output tokens,tokens,GLM-4.7,75,940.0,2370.5,3839.0,4319.4,2565.519894,5022.0,13257.0
Precision,performance,Overall,900,0.0,0.5,1.0,0.751185,0.418899,1.0,1.0
Precision,performance,Qwen3-VL-30B,75,0.0,1.0,1.0,0.893333,0.2997,1.0,1.0
Precision,performance,Qwen3-VL-235B,75,0.0,1.0,1.0,0.813333,0.374647,1.0,1.0
Precision,performance,gpt-oss-20b,75,0.0,0.0,1.0,0.64,0.483232,1.0,1.0
Precision,performance,gpt-oss-120b,75,0.0,1.0,1.0,0.8,0.394215,1.0,1.0
Precision,performance,ministral-3b,75,0.0,0.0,1.0,0.582223,0.493481,1.0,1.0
Precision,performance,ministral-14b,75,0.0,0.0,1.0,0.706667,0.450925,1.0,1.0
Precision,performance,deepseek-flash,75,0.0,1.0,1.0,0.84,0.350289,1.0,1.0
Precision,performance,deepseek-pro,75,0.0,0.58335,1.0,0.782223,0.370632,1.0,1.0
Precision,performance,Nemotron-Nano-30B,75,0.0,0.0,1.0,0.665333,0.453364,1.0,1.0
Precision,performance,Nemotron-Super-120B,75,0.0,1.0,1.0,0.82,0.382382,1.0,1.0
Precision,performance,GLM-4.7-Flash,75,0.0,0.0,1.0,0.675555,0.450137,1.0,1.0
Precision,performance,GLM-4.7,75,0.0,1.0,1.0,0.795555,0.389978,1.0,1.0
Recall,performance,Overall,900,0.0,0.3333,0.6667,0.64315,0.403112,1.0,1.0
Recall,performance,Qwen3-VL-30B,75,0.0,0.5,1.0,0.728889,0.337558,1.0,1.0
Recall,performance,Qwen3-VL-235B,75,0.0,0.5,1.0,0.706669,0.374528,1.0,1.0
Recall,performance,gpt-oss-20b,75,0.0,0.0,0.5,0.497779,0.427556,1.0,1.0
Recall,performance,gpt-oss-120b,75,0.0,0.3333,1.0,0.653331,0.400604,1.0,1.0
Recall,performance,ministral-3b,75,0.0,0.0,0.3333,0.399999,0.396117,0.6667,1.0
Recall,performance,ministral-14b,75,0.0,0.0,0.6667,0.551116,0.397983,1.0,1.0
Recall,performance,deepseek-flash,75,0.0,0.6667,1.0,0.791117,0.34451,1.0,1.0
Recall,performance,deepseek-pro,75,0.0,0.6667,1.0,0.764447,0.36974,1.0,1.0
Recall,performance,Nemotron-Nano-30B,75,0.0,0.0,0.6667,0.602224,0.434868,1.0,1.0
Recall,performance,Nemotron-Super-120B,75,0.0,0.5,0.6667,0.651116,0.366763,1.0,1.0
Recall,performance,GLM-4.7-Flash,75,0.0,0.0,0.6667,0.628893,0.427625,1.0,1.0
Recall,performance,GLM-4.7,75,0.0,0.6667,1.0,0.742225,0.385836,1.0,1.0
F1,performance,Overall,900,0.0,0.5,0.8,0.670783,0.390936,1.0,1.0
F1,performance,Qwen3-VL-30B,75,0.0,0.6667,1.0,0.776896,0.303677,1.0,1.0
F1,performance,Qwen3-VL-235B,75,0.0,0.6667,0.8,0.733784,0.355458,1.0,1.0
F1,performance,gpt-oss-20b,75,0.0,0.0,0.6667,0.544005,0.434621,1.0,1.0
F1,performance,gpt-oss-120b,75,0.0,0.5,0.8,0.69156,0.379113,1.0,1.0
F1,performance,ministral-3b,75,0.0,0.0,0.5,0.456007,0.413157,0.8,1.0
F1,performance,ministral-14b,75,0.0,0.0,0.6667,0.600896,0.400188,1.0,1.0
F1,performance,deepseek-flash,75,0.0,0.8,1.0,0.802669,0.335029,1.0,1.0
F1,performance,deepseek-pro,75,0.0,0.6667,1.0,0.745781,0.349163,1.0,1.0
F1,performance,Nemotron-Nano-30B,75,0.0,0.0,0.6667,0.610672,0.422426,1.0,1.0
F1,performance,Nemotron-Super-120B,75,0.0,0.6667,0.8,0.707563,0.356095,1.0,1.0
F1,performance,GLM-4.7-Flash,75,0.0,0.0,0.8,0.631116,0.417786,1.0,1.0
F1,performance,GLM-4.7,75,0.0,0.58335,1.0,0.748445,0.375179,1.0,1.0
